PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	5	0.1497333	0.2674167	0.38545	-1	-1	-1	-1	558.0081	1625.333	19291.63		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	11.86	558.00806:638 560.87073:6043 561.8703:243 562.87079:2659	
1	Unknown	88	0.1497333	0.2674167	0.38545	20.20166	21.0434	21.76489	167.0359	558.0081	1724	50778.32		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	34.48	558.00806:173	248.97038:458
2	Unknown	6	0.18895	0.30665	0.4639	-1	-1	-1	-1	284.264	429.3333	4399.475		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	7.906667		
3	Unknown	93	0.18895	0.30665	0.4639	21.0434	21.76489	22.48638	176.6929	284.264	515.6667	12157.08		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	10.31333	284.26404:66	248.96494:39
4	Unknown	8	0.2674167	0.38545	0.5423667	-1	-1	-1	-1	202.9833	5385	75220.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	36.21333	202.98326:1881	
5	Unknown	44	0.2674167	0.38545	0.5423667	15.39174	16.23348	17.07522	134.146	202.9833	5788	173950.8		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	115.76	202.97833:140	97.97071:27
6	Unknown	8	0.2674167	0.38545	1.053033	-1	-1	-1	-1	472.9423	808	10234.21		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	16.16	472.94229:362	
7	Unknown	33	0.2674167	0.38545	1.053033	14.18926	14.91075	15.63224	118.8782	472.9423	953.3333	23946.18		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	19.06667	472.94229:108	248.95947:55 248.97038:949
8	Unknown	9	0.2281833	0.4246833	0.6996334	-1	-1	-1	-1	249.9754	21967.33	465111		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	377.6067	249.97539:8055	
9	Unknown	9	0.2281833	0.4246833	0.6996334	11.18306	12.14505	12.98678	99.22251	249.9754	27403	758776.4		[M-H]-	M + 0		null	null	null	null	null	null	null	999	FALSE	FALSE	FALSE	FALSE	null	null	null	null	null	null	548.06	249.60374:241 249.87152:137 249.97539:2527 250.20506:80	248.97038:2508
