PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.08403333	0.3194167	0.71305	-1	-1	-1	-1	249.6748	1858	47678.74		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	37.16	249.43987:1193 249.67477:707 249.96992:8007 250.97144:126	
1	Unknown	8	0.08403333	0.3194167	0.71305	8.297112	12.14505	12.86654	99.22852	249.6748	2561.667	64746.28	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	51.23333	249.58736:259 249.67477:212 249.77313:172 249.84966:142 249.97539:2521	248.97:34488
2	Unknown	6	0.1625	0.3194167	0.4381	-1	-1	-1	-1	326.1852	406	3219.813		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.12	329.15857:81	
3	Unknown	106	0.1625	0.3194167	0.4381	23.20786	23.8091	24.53059	192.1665	326.1852	341.3333	7907.512		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.826667	326.17896:46 326.18521:37 326.19147:30 326.20395:21	
4	Unknown	7	0.2017333	0.35965	0.6738333	-1	-1	-1	-1	249.9699	19961.33	457633.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	338.4267	249.67477:653 249.70755:654 249.96992:8240	
5	Unknown	10	0.2017333	0.35965	0.6738333	10.94257	12.14505	12.98678	99.22262	249.9699	26193	707165.9		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	523.86	249.5928:269 249.67477:242 249.77313:171 249.84966:150 249.96992:2522 250.18866:89 250.26524:76 250.97144:49	248.97038:3063
6	Unknown	7	0.2017333	0.35965	0.6738333	-1	-1	-1	-1	249.9699	19961.33	457633.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	338.4267	249.67477:707 249.96992:8007 250.97144:126	
7	Unknown	8	0.2017333	0.35965	0.6738333	8.176864	12.14505	12.98678	99.22262	249.9699	26140.33	711954.3	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	522.8066	249.58736:259 249.67477:212 249.77313:172 249.84966:142 249.97539:2521	248.97:33706
8	Unknown	8	0.2017333	0.3988667	0.71305	-1	-1	-1	-1	249.7076	1812	35103.38		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	36.24	249.67477:653 249.70755:654 249.96992:8240	
9	Unknown	10	0.2017333	0.3988667	0.71305	11.06282	12.14505	12.86654	99.22787	249.7076	2459.333	61968.55		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	49.18667	249.43987:389 249.5928:269 249.67477:242 249.77313:171 249.84966:150 249.96992:2522 250.18866:89 250.26524:76 250.97144:49	248.97038:3063
10	Unknown	8	0.1625	0.3988667	0.5953667	-1	-1	-1	-1	339.1968	1037	18248.17		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	18.25333	339.19684:486	
11	Unknown	108	0.1625	0.3988667	0.5953667	23.56861	23.92935	24.2901	192.8436	339.1968	382	12264.1		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.026667	339.19684:36	248.97038:60
12	Unknown	114	0.1625	0.3988667	0.5953667	24.2901	24.65084	25.73307	198.6565	339.1968	638	16823.9		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.76	339.19684:43	
13	Unknown	9	0.2017333	0.4381	0.5953667	-1	-1	-1	-1	202.0286	994.3333	11149.52		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.73333	202.98819:1803	
14	Unknown	50	0.2017333	0.4381	0.5953667	16.23348	16.95497	17.7967	140.146	202.0286	1134	28549.25		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	22.68	202.02859:78 203.02267:67	
15	Unknown	9	0.2801833	0.4381	0.71305	-1	-1	-1	-1	249.418	3311	58656.56		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	65.55334	248.97038:147200 249.67477:653 249.70755:654 249.96992:8240	
16	Unknown	10	0.2801833	0.4381	0.71305	11.06282	12.14505	12.86654	99.23368	249.418	4440	116671.7		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	88.8	248.97038:40245 249.43987:389 249.5928:269 249.67477:242 249.77313:171 249.84966:150 249.96992:2522 250.18866:89 250.26524:76 250.97144:49	248.97038:3063
17	Unknown	9	0.3194167	0.4381	0.8310834	-1	-1	-1	-1	572.0391	1225.333	14431.36		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.50667		
18	Unknown	88	0.3194167	0.4381	0.8310834	20.68266	21.52439	22.24588	170.7526	572.0391	1263.333	37567.9		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	25.26667	572.03906:121	248.96494:61
19	Unknown	9	0.2801833	0.4381	0.8310834	-1	-1	-1	-1	628.1015	555.3333	5734.013		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.10667	628.09283:146	
20	Unknown	109	0.2801833	0.4381	0.8310834	23.20786	24.0496	24.89134	190.3817	628.1015	537.6667	16161.32		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.75333		
21	Unknown	10	0.3194167	0.4773333	0.7522833	-1	-1	-1	-1	172.9583	657.3333	7695.286		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.14667	172.9537:222 172.99463:485 174.95593:442	
22	Unknown	33	0.3194167	0.4773333	0.7522833	14.18926	14.91075	15.63224	124.5098	172.9583	752	19429.67	136.939	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.04	172.99463:199	136.939:346
23	Unknown	10	0.3194167	0.4773333	0.6346	-1	-1	-1	-1	381.8775	469.6667	5095.899		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.393333		
24	Unknown	32	0.3194167	0.4773333	0.6346	14.06902	14.7905	15.51199	118.7035	381.8775	546.6667	13996.88	248.965	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.93333	381.89777:22	248.965:7535
25	Unknown	10	0.35965	0.4773333	0.8703167	-1	-1	-1	-1	558.0081	1665.667	18146.36		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	33.31333	558.00806:737 560.87073:6811 562.87079:2737 562.96106:56	
26	Unknown	83	0.35965	0.4773333	0.8703167	20.20166	20.92315	21.76489	166.0817	558.0081	1749.333	50749.48	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	34.98667	558.00806:160	248.97:36755
27	Unknown	11	0.3194167	0.5165667	0.6738333	-1	-1	-1	-1	217.0024	2654.667	47458.38		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	22.62667	216.99225:92 217.00244:1072	
28	Unknown	52	0.3194167	0.5165667	0.6738333	16.47398	17.19546	18.0372	141.5347	217.0024	3418	87805.12		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	68.36	216.99225:67 217.00244:324	
29	Unknown	13	0.08403333	0.5953667	1.223733	-1	-1	-1	-1	266.15	850	9883.438		[M-H]-	M + 1	isotope of 33	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17	267.22861:479 269.21078:2064 270.216:638	
30	Unknown	80	0.08403333	0.5953667	1.223733	19.48018	20.32191	21.16365	165.4845	266.15	870.3333	23174.2		[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17.40667	266.14999:120	95.04922:28 248.96494:111
31	Unknown	13	0.4381	0.5953667	0.7915167	-1	-1	-1	-1	311.167	3530.333	45685.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	52.51333	311.16696:1535	
32	Unknown	98	0.4381	0.5953667	0.7915167	21.40414	22.48638	22.96737	181.8393	311.167	1468	63315.36		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	29.36	311.16696:158	
33	Unknown	108	0.4381	0.5953667	0.7915167	22.96737	23.68886	24.41034	191.5608	311.167	917.3333	38666.99		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	18.34667	311.15475:23 311.16696:104	170.00127:27 183.0099:86
34	w/o MS2:Arachidic acid	13	0.08403333	0.5953667	1.223733	-1	-1	-1	-1	311.2951	601.6667	4999.863		[M-H]-	M + 0		null	null	311.29556	C20H40O2	Long-chain fatty acids	VKOBVWXKNCXXDE-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCCCCCC	530	True	True	True	False	null	99.9	null	null	null	99.9	12.03333	311.16086:882 311.29507:370 313.25055:46 315.24896:1038	
