PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	w/o MS2:Isoleucine	7	0.08956667	0.3655	0.7973833	-1	-1	-1	-1	130.0867	430.6667	3535.764		[M-H]-	M + 0		null	null	130.08736	C6H13NO2	Isoleucine and derivatives	AGPKZVBTJJNPAG-UHFFFAOYNA-N	O=C(O)C(N)C(C)CC	530	True	True	True	False	null	99.1	null	null	null	99.8	8.613334	134.04071:186	
1	w/o MS2:Isoleucine	37	0.08956667	0.3655	0.7973833	14.67026	15.2715	15.99298	130.417	130.0867	463.6667	10815.11		[M-H]-	M + 0		null	129.058	130.08736	C6H13NO2	Isoleucine and derivatives	AGPKZVBTJJNPAG-UHFFFAOYNA-N	O=C(O)C(N)C(C)CC	510	True	True	True	False	null	99.1	null	null	null	99.8	9.273334		
2	Unknown	7	0.2474833	0.3655	0.5616667	-1	-1	-1	-1	187.0079	2988	45739.04		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	30.65333	187.00316:801 188.97079:2068	
3	Unknown	43	0.2474833	0.3655	0.5616667	15.15125	15.99298	16.95497	132.8421	187.0079	3489	100207.4	156.978	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	69.78	187.00316:156 189.00407:70	156.978:650
4	w/o MS2:4-Hydroxy-6-methyl-2-pyrone	8	0.1690167	0.4047333	0.5616667	-1	-1	-1	-1	125.0254	580.3333	6370.315		[M-H]-	M + 0		null	null	125.02441	C6H6O3	Pyranones and derivatives	NSYSSMYQPLSPOD-UHFFFAOYSA-N	O=C1OC(=CC(O)=C1)C	530	True	True	True	False	null	100	null	null	null	99.6	11.16	127.99691:63 128.03212:1173	
5	w/o MS2:4-Hydroxy-6-methyl-2-pyrone	26	0.1690167	0.4047333	0.5616667	13.10703	13.94877	14.55001	119.5519	125.0254	584	15490.35		[M-H]-	M + 0		null	119.563	125.02441	C6H6O3	Pyranones and derivatives	NSYSSMYQPLSPOD-UHFFFAOYSA-N	O=C1OC(=CC(O)=C1)C	510	True	True	True	False	null	100	null	null	null	99.6	11.68	125.02536:54	107.0327:35
6	Unknown	8	0.2867167	0.4047333	0.5224333	-1	-1	-1	-1	268.1905	501.3333	3845.018		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.02667	268.18481:168	
7	Unknown	85	0.2867167	0.4047333	0.5224333	20.32191	21.0434	21.76489	171.2959	268.1905	402.3333	11947.83		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.046667		248.97038:549
8	Unknown	8	0.2867167	0.4047333	0.5616667	-1	-1	-1	-1	561.8703	863.3333	11206.39		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.886667	561.8703:371 562.87079:3044 563.87213:104	
9	Unknown	57	0.2867167	0.4047333	0.5616667	16.95497	17.67646	18.2777	140.2945	561.8703	1170.333	27113.51	560.871	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	23.40667	561.8703:133 562.87079:838	337.892:1767 339.89099:767 339.91699:828 471.935:9673 560.854:1530 560.87097:5822 562.87097:2384
10	Unknown	9	0.2867167	0.4439667	0.6796833	-1	-1	-1	-1	188.9708	5919.333	104228		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	54.93333	188.96129:169 188.97079:2175 190.96783:123	
11	Unknown	35	0.2867167	0.4439667	0.6796833	14.30951	15.2715	15.99298	126.7656	188.9708	6967.667	191720.9		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	139.3533	188.96129:63 188.97079:633 192.96095:35	
12	Unknown	9	0.2474833	0.4439667	0.8366167	-1	-1	-1	-1	498.9496	13746	238228.8		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	274.92	498.92645:48 498.94962:5481 499.94656:186	
13	Unknown	47	0.2474833	0.4439667	0.8366167	15.87274	16.71447	17.43596	133.0586	498.9496	3664	102076.1	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	73.28	498.9342:75 498.94962:406	248.97:4058
14	Unknown	82	0.2474833	0.4439667	0.8366167	19.96117	20.92315	22.84712	166.5509	498.9496	9780.333	351364.8	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	195.6067	498.9342:234 498.94962:872	248.97:38876 471.935:1708
15	Unknown	9	0.2474833	0.4439667	0.8761666	-1	-1	-1	-1	499.9466	553.3333	7320.47		[M-H]-	M + 1	isotope of 6	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.06667	499.94656:186	
16	Unknown	81	0.2474833	0.4439667	0.8761666	20.08142	20.8029	21.52439	165.5852	499.9466	660.3333	17294.08	471.928	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.20667	499.94656:70	248.97:35124 471.92801:818
