PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.162	0.3189333	0.6726667	-1	-1	-1	-1	188.9708	6160.667	158217.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	64.91333	188.97079:2000	
1	Unknown	36	0.162	0.3189333	0.6726667	14.42976	15.2715	16.11323	126.7656	188.9708	7449.667	212889.4		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	148.9933	188.97079:616	
2	Unknown	6	0.2012333	0.3189333	0.43695	-1	-1	-1	-1	202.9882	5325.667	70605.28		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	31.50667	202.97833:396	
3	Unknown	51	0.2012333	0.3189333	0.43695	15.39174	16.23348	17.43596	134.1458	202.9882	6641.333	182839.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	132.8267	202.97833:166	156.97353:23 156.99519:30
4	Unknown	7	0.2012333	0.3581667	0.8296	-1	-1	-1	-1	381.8775	498.6667	6566.365		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.973333		
5	Unknown	36	0.2012333	0.3581667	0.8296	14.06902	14.7905	15.39174	118.7035	381.8775	634	15872.75		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.68	381.87073:57	136.93475:52 248.95947:53 248.97038:1137
6	Unknown	7	0.2404667	0.3581667	0.7511333	-1	-1	-1	-1	471.9426	13889.67	281040.8		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	269.5733	471.92007:451 471.93509:5471 472.95731:22	
7	Unknown	37	0.2404667	0.3581667	0.7511333	14.18926	14.91075	15.75249	118.8852	471.9426	16382.67	467177.8	471.928	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	327.6533	471.92007:138 471.93509:1582	100.989:26 129.004:124 154.944:126 248.959:632 248.97:11397 471.92801:1575
8	Unknown	7	0.2012333	0.3581667	0.8296	-1	-1	-1	-1	572.0391	1128.667	16870.55		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	22.57333	572.02252:139	
9	Unknown	92	0.2012333	0.3581667	0.8296	20.8029	21.52439	22.36613	170.7526	572.0391	1329.333	35800.26	283.256	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	26.58667	572.03906:131	98.025:52 283.25601:5351
