PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	7	0.2214	0.3391	0.7713	-1	-1	-1	-1	250.1449	661.3333	12441.39		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.22667	249.68024:609 249.97539:8229	
1	Unknown	8	0.2214	0.3391	0.7713	11.54381	12.14505	12.86654	99.21912	250.1449	956.6667	22604.2	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.13333	249.68024:228 249.90977:128 249.97539:2403	248.97:401117 249.36301:2521 249.642:1019 249.97:16618
2	Unknown	7	0.2214	0.3391	0.8105333	-1	-1	-1	-1	250.3199	353.6667	5726.561		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.073333	249.96992:8353 255.19641:84 255.22955:806	
3	Unknown	7	0.2214	0.3391	0.8105333	11.30331	12.14505	12.86654	99.21563	250.3199	548.3333	12034.41	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.96667	249.97539:2602 250.31995:60 250.38014:45	248.97:412593 249.36301:2522 249.429:1925 249.97501:17336
4	Unknown	7	0.1821833	0.3391	0.8497667	-1	-1	-1	-1	498.9496	14009	290420.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	280.18	498.94962:5420	
5	Unknown	46	0.1821833	0.3391	0.8497667	15.87274	16.71447	17.43596	133.0586	498.9496	3585.333	93490.39		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	71.70667	498.94962:291	
6	Unknown	81	0.1821833	0.3391	0.8497667	19.96117	20.92315	21.88514	166.5509	498.9496	11145.33	385889.2	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	222.9067	498.94962:1047 499.94656:68	248.97:36127 471.92801:819
7	Unknown	7	0.1821833	0.3391	0.8497667	-1	-1	-1	-1	499.9466	516.3333	8047.884		[M-H]-	M + 1	isotope of 2	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.32667		
8	Unknown	80	0.1821833	0.3391	0.8497667	20.08142	20.8029	21.76489	165.5852	499.9466	563	15389.35	248.97	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.26	499.94656:70	248.97:36127 255.23:14189 471.935:1494
9	Unknown	7	0.2214	0.3391	0.8497667	-1	-1	-1	-1	558.0081	1836.333	31101.78		[M-H]-	M + 1	isotope of 8	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	36.72667	558.00806:698 560.87073:5612 561.8703:259 562.87079:2295	
10	Unknown	82	0.2214	0.3391	0.8497667	20.20166	21.0434	21.76489	167.0359	558.0081	2199.667	62834.38		[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	43.99333	558.00806:200	97.01807:24 248.97038:426
11	Unknown	7	0.2214	0.3391	0.7713	-1	-1	-1	-1	580.998	345.3333	3863.783		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.906667		
12	Unknown	92	0.2214	0.3391	0.7713	21.52439	22.24588	22.96737	176.4111	580.998	425.3333	9826.678	311.161	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.506667		311.16101:823
13	Unknown	8	0.2214	0.3786667	0.61405	-1	-1	-1	-1	217.0024	2158	42291.19		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.78667	216.99225:23 217.00244:954	
14	Unknown	48	0.2214	0.3786667	0.61405	16.35373	17.19546	18.0372	141.5347	217.0024	2385	72610.58		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	47.7	216.99225:41 217.00244:218	
15	Unknown	8	0.2606333	0.3786667	0.8893333	-1	-1	-1	-1	383.8736	542.3333	7847.889		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.84667	383.86682:24	
16	Unknown	28	0.2606333	0.3786667	0.8893333	13.94877	14.7905	15.39174	118.6824	383.8736	722	18282.52		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.44	383.88037:79	129.0397:26 248.97038:1347
17	Unknown	8	0.1821833	0.3786667	0.8105333	-1	-1	-1	-1	557.0037	18889.33	387977.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	377.7867	556.97925:310 557.00372:7347 558.00806:631 560.87073:4920 561.8703:191	
18	Unknown	80	0.1821833	0.3786667	0.8105333	20.08142	20.92315	21.88514	166.0888	557.0037	21421.33	668321.6	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	428.4267	556.97113:24 557.00372:1959 558.00806:190	248.97:36122 471.92801:820
19	w/o MS2:2-Hydroxybenzaldehyde	9	0.14295	0.4179	0.61405	-1	-1	-1	-1	121.0288	399	3380.616		[M-H]-	M + 0	similar chromatogram in higher mz_10	null	null	121.0295	C7H6O2	Hydroxybenzaldehydes	SMQUZDBALVYZAC-UHFFFAOYSA-N	O=CC=1C=CC=CC1O	530	True	True	True	False	null	94.5	null	null	null	99.8	7.98	124.04132:63	
20	w/o MS2:2-Hydroxybenzaldehyde	25	0.14295	0.4179	0.61405	13.82852	14.42976	15.15125	124.0458	121.0288	425.3333	9386.552		[M-H]-	M + 0		null	120.682	121.0295	C7H6O2	Hydroxybenzaldehydes	SMQUZDBALVYZAC-UHFFFAOYSA-N	O=CC=1C=CC=CC1O	510	True	True	True	False	null	94.5	null	null	null	99.8	8.506667		
21	Unknown	9	0.2214	0.4179	0.5748166	-1	-1	-1	-1	283.1923	597	5446.625		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.94	283.26212:455	
22	Unknown	81	0.2214	0.4179	0.5748166	20.44216	21.16365	21.88514	171.8424	283.1923	636.6667	16673.57		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.73333		248.96494:148
