PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	5	0.1846667	0.2631333	0.6165333	-1	-1	-1	-1	172.9901	3081.333	66355.45		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	36.49333	172.9537:205 172.9901:987 174.95135:439	
1	Unknown	32	0.1846667	0.2631333	0.6165333	14.18926	15.031	15.75249	125.5119	172.9901	3797	103699.4		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	75.94	172.9537:69 172.9901:318	
2	Unknown	7	0.2239	0.3416	0.7345667	-1	-1	-1	-1	520.9226	358.3333	3740.272		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.166667		
3	Unknown	62	0.2239	0.3416	0.7345667	17.7967	18.51819	19.23968	147.2471	520.9226	347.6667	9256.69		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.953333	520.92261:49 520.93048:43 520.93842:32	
4	Unknown	8	0.2631333	0.3808167	0.6557667	-1	-1	-1	-1	188.9708	5630	117310.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	50.76	188.97079:1998	
5	Unknown	34	0.2631333	0.3808167	0.6557667	14.30951	15.2715	16.11323	126.7656	188.9708	6251.333	186165.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	125.0267	188.97079:486	
6	Unknown	8	0.2631333	0.3808167	0.7345667	-1	-1	-1	-1	250.041	2019	39724.28		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	36.91333	249.69116:598 249.96992:8085	
7	Unknown	8	0.2631333	0.3808167	0.7345667	11.18306	12.14505	12.86654	99.2212	250.041	2772	71973.18	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	55.44	249.65291:204 249.81686:137 249.96992:2784 250.33089:57 250.48959:42 250.97144:54	248.97:30944 249.97:757
8	Unknown	9	0.3023667	0.42005	0.7345667	-1	-1	-1	-1	249.6857	1731.333	28239.31		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	34.62667	249.40164:1208 249.52727:931 249.96992:7712 253.09052:50	
9	Unknown	11	0.3023667	0.42005	0.7345667	11.30331	12.14505	12.86654	99.22831	249.6857	2372.333	58599.2	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	47.44667	249.40164:374 249.48357:307 249.51633:321 249.5928:235 249.69116:215 249.81686:155 249.96992:2478 250.1449:97 250.34731:58	248.97:30944 249.97501:851
10	Unknown	9	0.2631333	0.42005	0.7345667	-1	-1	-1	-1	498.9496	14739.33	226918.1		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	294.3267	498.9342:1277 498.94962:5903	
11	Unknown	46	0.2631333	0.42005	0.7345667	15.87274	16.71447	17.43596	133.0586	498.9496	3671.667	105705.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	73.43333	498.9342:106 498.94962:322	
12	Unknown	81	0.2631333	0.42005	0.7345667	19.96117	20.92315	23.08762	166.5509	498.9496	10751	382201.2	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	215.02	498.9342:279 498.94962:1021	248.97:31600
13	Unknown	9	0.1846667	0.42005	0.6557667	-1	-1	-1	-1	557.0037	17387.67	372905.3		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	347.3933	556.97925:196 557.00372:6533 557.99988:482 560.87073:6788	
14	Unknown	83	0.1846667	0.42005	0.6557667	20.08142	21.0434	22.00538	167.0431	557.0037	19784.67	623062.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	395.6933	556.97925:63 557.00372:1638 557.99988:138	96.96018:40 248.97038:440
15	Unknown	10	0.06663334	0.4596167	0.6953334	-1	-1	-1	-1	249.5437	2334.667	69527.95		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	43.84	249.40164:1208 249.52727:931 249.96992:7712 253.09052:50	
16	Unknown	11	0.06663334	0.4596167	0.6953334	11.18306	12.14505	12.86654	99.23116	249.5437	3164.333	82788.28	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	63.28667	249.40164:374 249.48357:307 249.51633:321 249.5928:235 249.69116:215 249.81686:155 249.96992:2478 250.1449:97 250.34731:58	248.97:30449 249.97501:851
17	Unknown	10	0.3416	0.4596167	0.6953334	-1	-1	-1	-1	471.9576	7239.333	103401.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	130.7667	471.93509:4883	
18	Unknown	35	0.3416	0.4596167	0.6953334	14.18926	15.031	15.75249	119.8435	471.9576	8542.667	244093.7	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	170.8533	471.92007:132 471.93509:1373 472.94229:60	248.97:11449
19	Unknown	10	0.1846667	0.4596167	0.5773166	-1	-1	-1	-1	562.8708	9171.667	195028.4		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	48.72667	562.87079:3543 563.86395:125	
20	Unknown	57	0.1846667	0.4596167	0.5773166	16.83472	17.67646	18.51819	140.2886	562.8708	10663	316177.7	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	213.26	562.87079:924	248.97:23229 337.89899:2472
21	Unknown	10	0.2239	0.4596167	0.9702833	-1	-1	-1	-1	572.0391	1421.333	22678.75		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	28.42667	572.03906:545	
22	Unknown	90	0.2239	0.4596167	0.9702833	20.8029	21.64464	22.36613	171.7063	572.0391	1429.333	41745.32		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	28.58667	572.03906:147	
23	Unknown	10	0.3023667	0.4596167	0.9307167	-1	-1	-1	-1	628.1015	511.6667	5739.082		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.23333	628.09283:164	
24	Unknown	110	0.3023667	0.4596167	0.9307167	23.32811	24.0496	25.01158	190.3817	628.1015	509.3333	15028.58		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.18667		
25	Unknown	11	0.1058667	0.49885	0.9307167	-1	-1	-1	-1	203.9896	466.6667	4010.52		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.333333	203.98956:352	
26	Unknown	48	0.1058667	0.49885	0.9307167	15.51199	16.23348	16.95497	134.1058	203.9896	387	9112.396		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.74		
27	Unknown	11	0.3808167	0.49885	1.127217	-1	-1	-1	-1	240.1559	647	10709.38		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.94		
28	Unknown	77	0.3808167	0.49885	1.127217	18.75869	19.72067	20.56241	161.4154	240.1559	675	20374.81		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.5	240.15588:83	
29	Unknown	12	0.3416	0.5380833	0.6557667	-1	-1	-1	-1	187.0079	5124.667	79035.83		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	38.78	187.00789:1809 188.97079:1976	
30	Unknown	46	0.3416	0.5380833	0.6557667	15.15125	15.99298	16.83472	132.8421	187.0079	5661.667	161187.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	113.2333	187.00789:552 189.02309:22	
31	Unknown	12	0.42005	0.5380833	0.8522667	-1	-1	-1	-1	250.9714	405.3333	2873.62		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.106667	253.20605:166 253.21707:1159 254.21956:250 255.22955:1597	
32	Unknown	14	0.42005	0.5380833	0.8522667	11.30331	12.14505	12.74629	99.20267	250.9714	405.3333	8773.286	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.106667	250.97144:60	248.97:32791 249.97501:899
33	Unknown	13	0.42005	0.5773166	0.6953334	-1	-1	-1	-1	173.9967	528.6667	5404.814		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.893333	174.95593:415	
