PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	7	0.2430833	0.3611167	0.4788	-1	-1	-1	-1	256.236	368.6667	2964.014		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.706666		
1	Unknown	78	0.2430833	0.3611167	0.4788	19.96117	20.68266	21.2839	168.7312	256.236	362.6667	8628.999	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.253334	256.24707:26	248.97:29594
2	Unknown	7	0.1646167	0.3611167	0.9503	-1	-1	-1	-1	557.9999	1691.667	32199.17		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	33.83333	557.99988:750 560.87073:4984 562.87079:2072	
3	Unknown	80	0.1646167	0.3611167	0.9503	20.20166	20.92315	21.76489	166.0817	557.9999	1910.333	57978.78	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	38.20667	557.99988:218	248.97:33348
4	Unknown	9	0.2430833	0.4395667	0.6361167	-1	-1	-1	-1	202.0286	399	4627.643		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.593333	202.98819:1550	
5	Unknown	46	0.2430833	0.4395667	0.6361167	16.23348	16.83472	17.67646	139.1524	202.0286	391.6667	11226.34		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.833333		
6	Unknown	9	0.2823167	0.4395667	0.5572667	-1	-1	-1	-1	297.1461	662	7230.59		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.5	297.14606:431	
7	Unknown	93	0.2823167	0.4395667	0.5572667	21.2839	22.48638	23.56861	182.1932	297.1461	293.6667	19458.53		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.873333		183.0099:41
8	Unknown	9	0.2823167	0.4395667	0.8322833	-1	-1	-1	-1	472.0177	761.6667	10138.06		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.23333	471.92007:497 471.93509:5044	
9	Unknown	31	0.2823167	0.4395667	0.8322833	14.30951	15.031	15.63224	119.8431	472.0177	935.3333	24119.33	248.959	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	18.70667	471.93509:1514	248.959:1719 248.97:15088
10	Unknown	9	0.32155	0.4395667	0.79305	-1	-1	-1	-1	520.9305	436	4326.323		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.72		
11	Unknown	60	0.32155	0.4395667	0.79305	17.91695	18.51819	19.35993	147.247	520.9305	499.3333	12575.54		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.986667	520.93048:40 520.93842:23	
12	Unknown	9	0.32155	0.4395667	0.8322833	-1	-1	-1	-1	865.0355	459	5158.475		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.18	865.0152:75	
13	Unknown	100	0.32155	0.4395667	0.8322833	22.60662	23.32811	24.16985	183.5886	865.0355	473.3333	13852.57	183.01	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.466666	865.0152:41	183.00999:904 248.97:2
14	w/o MS2:2-Hydroxybenzaldehyde	10	0.1646167	0.4788	0.5969	-1	-1	-1	-1	121.025	357	3416.963		[M-H]-	M + 0		null	null	121.0295	C7H6O2	Hydroxybenzaldehydes	SMQUZDBALVYZAC-UHFFFAOYSA-N	O=CC=1C=CC=CC1O	530	True	True	True	False	null	94.5	null	null	null	90.4	7.14		
15	w/o MS2:2-Hydroxybenzaldehyde	23	0.1646167	0.4788	0.5969	13.70827	14.42976	15.031	124.0462	121.025	425.3333	10086.39		[M-H]-	M + 0		null	120.682	121.0295	C7H6O2	Hydroxybenzaldehydes	SMQUZDBALVYZAC-UHFFFAOYSA-N	O=CC=1C=CC=CC1O	510	True	True	True	False	null	94.5	null	null	null	90.4	8.506667		
16	Unknown	10	0.3611167	0.4788	0.5969	-1	-1	-1	-1	240.1612	471.6667	3988.665		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.24	240.15051:74	
17	Unknown	67	0.3611167	0.4788	0.5969	18.99918	19.72067	20.44216	161.4153	240.1612	255	9206.183		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.1	240.16124:30 240.1666:22	
18	Unknown	12	0.4395667	0.5572667	0.67535	-1	-1	-1	-1	173.9922	471.6667	4317.523		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.913333	174.95593:389	
19	Unknown	31	0.4395667	0.5572667	0.67535	14.42976	15.031	15.63224	125.4615	173.9922	582.3333	12604.38		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.64667		
20	Unknown	13	0.1646167	0.5969	1.068	-1	-1	-1	-1	265.1467	4380	58449.48		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	87.6	265.14673:1956 266.14999:272 267.23425:285 269.21078:1537	
21	Unknown	79	0.1646167	0.5969	1.068	19.48018	20.32191	21.16365	165.5143	265.1467	3884.667	120579.9		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	77.69334	265.14673:324	248.95947:36 248.97038:132
22	Unknown	13	0.08616666	0.5969	1.186033	-1	-1	-1	-1	420.8209	4776.667	40987.05		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	95.53333	420.8067:131 420.82089:2477 422.82373:1240 424.80994:184	
23	Unknown	55	0.08616666	0.5969	1.186033	16.59422	17.43596	18.2777	139.4834	420.8209	4331.667	124680.4	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	86.63333	420.82089:455 422.81662:213 424.82419:39	248.97:90009 337.892:4105
24	Unknown	13	0.1646167	0.5969	1.068	-1	-1	-1	-1	422.8237	2738.667	22404.08		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	54.77333	422.82373:1240 424.80994:184	
25	Unknown	55	0.1646167	0.5969	1.068	16.59422	17.43596	18.2777	139.4628	422.8237	2168	68505.32	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	43.36	422.81662:213 424.82419:39	248.97:86422 337.892:3966
