PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	5	0.1501	0.2678	0.6607667	-1	-1	-1	-1	250.0738	1120	27118.93		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.18667	249.97539:9275	
1	Unknown	8	0.1501	0.2678	0.6607667	11.54381	12.14505	12.86654	99.22054	250.0738	1565.667	38267.69	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	31.31333	249.69116:167 249.80046:132 249.97539:2464 250.28712:70 250.45128:48	248.97:407840 249.32001:3045 249.533:1600 249.56599:1444 249.92599:456 249.97501:19687
2	w/o MS2:4-Hydroxy-6-methyl-2-pyrone	7	0.1501	0.3462667	0.4642833	-1	-1	-1	-1	125.0254	623.3333	5134.626		[M-H]-	M + 0		null	null	125.02441	C6H6O3	Pyranones and derivatives	NSYSSMYQPLSPOD-UHFFFAOYSA-N	O=C1OC(=CC(O)=C1)C	530	True	True	True	False	null	99.5	null	null	null	99.6	12.46667	128.03604:301	
3	w/o MS2:4-Hydroxy-6-methyl-2-pyrone	23	0.1501	0.3462667	0.4642833	13.10703	13.82852	14.55001	118.5217	125.0254	628.6667	14992.52		[M-H]-	M + 0		null	119.563	125.02441	C6H6O3	Pyranones and derivatives	NSYSSMYQPLSPOD-UHFFFAOYSA-N	O=C1OC(=CC(O)=C1)C	510	True	True	True	False	null	99.5	null	null	null	99.6	12.57333	125.02149:77 125.02536:68 125.02923:53 125.03309:29 125.03696:24	
4	Unknown	7	0.1501	0.3462667	0.5035167	-1	-1	-1	-1	217.0024	2626.333	42253.66		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	22.57333	217.00244:1194	
5	Unknown	51	0.1501	0.3462667	0.5035167	16.35373	17.19546	18.0372	141.5347	217.0024	3120.667	83577.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	62.41333	217.00244:315	190.96783:28
6	Unknown	7	0.1893333	0.3462667	0.5819833	-1	-1	-1	-1	560.8707	17395.33	383491.8		[M-H]-	M + 0	found in higher mz's MsMs_7	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	58.08	560.87073:6878 561.87854:444 562.87079:2852	
7	Unknown	55	0.1893333	0.3462667	0.5819833	16.71447	17.67646	18.51819	140.3005	560.8707	19965.67	602233.2	560.871	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	399.3133	560.87073:2012 561.8703:120 562.87079:822	337.905:4219 339.90399:2042 471.935:10820 560.87097:5558 562.87097:2304
8	Unknown	7	0.1893333	0.3462667	0.5819833	-1	-1	-1	-1	560.8707	17395.33	383491.8		[M-H]-	M + 0	found in higher mz's MsMs_7	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	58.08	560.87073:6635 562.85437:817 562.87079:2598	
9	Unknown	57	0.1893333	0.3462667	0.5819833	16.71447	17.67646	18.51819	140.3005	560.8707	20383	604260.6	560.871	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	407.66	560.87073:1768 561.8703:109 562.87079:833	337.892:1248 337.92401:1295 339.923:645 471.935:10820 560.854:1471 560.87097:5558 562.86298:1859
10	Unknown	7	0.1893333	0.3462667	0.5819833	-1	-1	-1	-1	561.8785	978.6667	18092.27		[M-H]-	M + 1	isotope of 3	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.56667	561.87854:444 562.87079:2852	
11	Unknown	55	0.1893333	0.3462667	0.5819833	16.95497	17.67646	18.39794	140.2945	561.8785	1231.333	32178.35	560.871	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	24.62667	561.8703:120 562.87079:822	337.905:4219 339.90399:2042 471.935:10820 560.87097:5558 562.87097:2304
12	Unknown	7	0.2285667	0.3462667	0.8177	-1	-1	-1	-1	572.0391	1139.667	20226.94		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	22.79333	572.02252:54	
13	Unknown	86	0.2285667	0.3462667	0.8177	20.8029	21.52439	22.36613	170.7526	572.0391	1369.333	39645.78	283.256	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	27.38667	572.03906:153	277.18399:7 283.25601:4563
14	Unknown	7	0.07131667	0.3462667	0.8965	-1	-1	-1	-1	581.0063	395.3333	6593.306		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.906667		
15	Unknown	93	0.07131667	0.3462667	0.8965	21.52439	22.24588	22.96737	176.411	581.0063	461.6667	11197.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.233334	580.98969:50	
16	Unknown	8	0.2678	0.3858167	0.7784666	-1	-1	-1	-1	249.571	2069.333	39652.92		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	39.38667	249.45079:993 249.97539:9275	
17	Unknown	8	0.2678	0.3858167	0.7784666	0.480992	12.14505	12.86654	99.23061	249.571	2840	72444.55	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	56.8	249.44533:321 249.5491:258 249.69116:167 249.80046:132 249.97539:2464 250.28712:70 250.45128:48	248.97:441134 249.32001:3079 249.533:1596 249.56599:1436 249.92599:459 249.97501:20613
18	Unknown	8	0.2285667	0.3858167	0.8572667	-1	-1	-1	-1	250.2816	493	8221.573		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.86	249.97539:9387 255.22955:183	
19	Unknown	11	0.2285667	0.3858167	0.8572667	11.54381	12.14505	12.86654	99.21639	250.2816	769	16817.87	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.38	249.97539:2837 250.28712:68 250.59906:43	248.97:466695 249.43401:1993 249.533:1596 249.97501:21310 250.189:353
20	Unknown	8	0.2678	0.3858167	0.7	-1	-1	-1	-1	499.9466	612	5736.409		[M-H]-	M + 1	isotope of 18	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.24	499.94656:301	
21	Unknown	84	0.2678	0.3858167	0.7	20.20166	20.92315	21.64464	166.542	499.9466	611	15035.82	248.97	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.22	499.94656:98	248.959:2635 248.97:43396 249.981:610
22	Unknown	8	0.2285667	0.3858167	0.8572667	-1	-1	-1	-1	558.0081	1717.333	31042.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	34.34667	558.00806:653 560.87073:6489 561.8703:330 562.87079:2615	
23	Unknown	81	0.2285667	0.3858167	0.8572667	20.08142	20.92315	21.76489	166.0817	558.0081	1784.333	59190.88	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	35.68667	558.00806:151	248.959:2635 248.97:43572 249.97501:908
24	Unknown	9	0.3070333	0.42505	0.7392333	-1	-1	-1	-1	249.9754	24134.33	425031.4		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	385.56	249.97539:9387	
25	Unknown	11	0.3070333	0.42505	0.7392333	4.088432	12.14505	13.10703	99.22251	249.9754	30376.67	822654.5	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	607.5333	249.63652:224 249.76221:144 249.97539:2837 250.28712:68 250.59906:43	248.97:420204 249.43401:1948 249.533:1560 249.97501:19924 250.189:340
26	Unknown	9	0.3070333	0.42505	0.8572667	-1	-1	-1	-1	250.1668	628.6667	8598.826		[M-2H]2-	M + 1	isotope of 20	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.57333	249.97539:9275	
27	Unknown	8	0.3070333	0.42505	0.8572667	11.54381	12.14505	12.86654	198.4374	250.1668	905.3333	20930.35	248.97	[M-2H]2-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	18.10667	249.69116:167 249.80046:132 249.97539:2464 250.28712:70 250.45128:48	248.97:457097 249.32001:3053 249.533:1553 249.56599:1398 249.92599:450 249.97501:20890
28	Unknown	9	0.2285667	0.42505	0.8572667	-1	-1	-1	-1	250.4184	376.6667	5237.435		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.533333	249.97539:9387 255.22955:183	
29	Unknown	11	0.2285667	0.42505	0.8572667	11.54381	12.14505	12.74629	99.21366	250.4184	515.3333	11154.19	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.30667	249.97539:2837 250.28712:68 250.59906:43	248.97:457097 249.43401:1940 249.533:1553 249.97501:20890 250.189:338
30	Unknown	9	0.3070333	0.42505	0.8572667	-1	-1	-1	-1	381.8775	650.3333	7464.313		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.00667	383.86682:117	
31	Unknown	33	0.3070333	0.42505	0.8572667	13.94877	14.7905	15.39174	118.7035	381.8775	704.3333	18376.31		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.08667	381.8775:104	248.95947:109 248.97038:1102
32	Unknown	9	0.2285667	0.42505	1.014183	-1	-1	-1	-1	383.8736	696.6667	9065.003		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.93333	383.86682:117	
33	Unknown	32	0.2285667	0.42505	1.014183	14.06902	14.67026	15.51199	117.7179	383.8736	832.3333	21514.79		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	16.64667	383.8736:91	248.97038:973
34	Unknown	9	0.3070333	0.42505	0.8572667	-1	-1	-1	-1	472.9348	462.6667	4590.083		[M-H]-	M + 1	isotope of 21	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.253333		
35	Unknown	35	0.3070333	0.42505	0.8572667	14.30951	15.031	15.63224	119.8366	472.9348	524.3333	12344.65	471.935	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.48667		248.959:927 248.97:15837 471.935:2596
36	Unknown	9	0.3070333	0.42505	0.8572667	-1	-1	-1	-1	498.9496	14293.67	202322.9		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	285.8733	498.9342:971 498.94962:5783 499.94656:301	
37	Unknown	49	0.3070333	0.42505	0.8572667	15.87274	16.71447	17.55621	133.0586	498.9496	3403.667	95828.02	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	68.07333	498.9342:83 498.94193:284	248.97:3844
38	Unknown	84	0.3070333	0.42505	0.8572667	19.96117	20.92315	22.96737	166.5509	498.9496	10869.33	396183.7	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	217.3867	498.94962:1086 499.94656:98	248.959:2635 248.97:43572 249.981:605
39	Unknown	9	0.2285667	0.42505	0.8965	-1	-1	-1	-1	498.9883	2521	43008.13		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	50.42	498.9342:880 498.94962:5346 499.94656:159	
40	Unknown	47	0.2285667	0.42505	0.8965	15.99298	16.71447	17.43596	133.0583	498.9883	511	11839.61	248.965	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.22	498.94962:243	248.965:2463
41	Unknown	82	0.2285667	0.42505	0.8965	20.08142	20.92315	22.12563	166.5505	498.9883	2411.667	72170.48	248.959	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	48.23333	498.94962:1012	248.959:2635 248.97:41453 249.97501:869
42	Unknown	10	0.3462667	0.4642833	0.7392333	-1	-1	-1	-1	249.6693	1485.333	22398.23		[M-2H]2-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	28.81333	249.97539:9387	
43	Unknown	11	0.3462667	0.4642833	0.7392333	4.20868	12.14505	12.86654	198.4573	249.6693	2043	52892.25	248.97	[M-2H]2-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	40.86	249.45079:326 249.63652:224 249.76221:144 249.97539:2837 250.28712:68 250.59906:43	248.97:409754 249.43401:1892 249.533:1516 249.97501:19411 250.189:325
44	Unknown	10	0.3070333	0.4642833	0.7	-1	-1	-1	-1	471.9351	14162.33	227540.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	272.12	471.92007:330 471.93509:5404 472.95731:50	
