PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.13275	0.2896833	0.72255	-1	-1	-1	-1	471.9276	8901.667	218909.7		[M-H]-	M + 0	found in higher mz's MsMs_1	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	161.1533	471.92007:498 471.93509:4819	
1	Unknown	33	0.13275	0.2896833	0.72255	14.18926	15.031	15.87274	119.8437	471.9276	10363.67	292584.9	471.935	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	207.2733	471.92007:138 471.93509:1592	142.96001:0 248.959:720 248.97:11111 471.935:3160
2	Unknown	6	0.05396667	0.2896833	0.4083667	-1	-1	-1	-1	557.9999	1554.333	27360.03		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	18.62667	557.99988:611 560.87073:6175 562.87079:2566	
3	Unknown	83	0.05396667	0.2896833	0.4083667	20.08142	21.0434	21.76489	167.0359	557.9999	1767.667	52827.35		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	35.35333	557.99988:160	248.95947:35 248.97038:442
4	Unknown	8	0.1719833	0.36815	0.5653	-1	-1	-1	-1	173.9967	652.3333	7989.307		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.04667	174.95593:481	
5	Unknown	32	0.1719833	0.36815	0.5653	14.18926	14.91075	15.63224	124.458	173.9967	748	19913.06	142.96	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.96	173.9967:99	142.96001:359
6	Unknown	8	0.25045	0.36815	0.7617834	-1	-1	-1	-1	250.134	762.3333	13276.23		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.24667	249.96992:8091	
7	Unknown	9	0.25045	0.36815	0.7617834	11.42356	12.14505	12.86654	99.21934	250.134	1085.333	26218.85	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	21.70667	249.64198:224 249.72395:158 249.97539:2621 250.37466:57	248.97:428979 249.407:2283 249.571:1507 249.713:915 249.811:650 249.86099:468 249.97:18890
8	Unknown	8	0.2112167	0.36815	0.7617834	-1	-1	-1	-1	628.1015	464.6667	4803.088		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.293333		
9	Unknown	109	0.2112167	0.36815	0.7617834	23.20786	24.16985	24.77109	191.3333	628.1015	454.6667	12907.41		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.093333		
10	Unknown	9	0.2112167	0.4083667	0.6045167	-1	-1	-1	-1	187.0079	3187	60798.41		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	25.62	187.00316:559 188.97079:1309	
