PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	w/o MS2:2-Hydroxybenzaldehyde	7	0.20465	0.3615833	0.6368667	-1	-1	-1	-1	121.0288	422	5125.188		[M-H]-	M + 0		null	null	121.0295	C7H6O2	Hydroxybenzaldehydes	SMQUZDBALVYZAC-UHFFFAOYSA-N	O=CC=1C=CC=CC1O	530	True	True	True	False	null	97.3	null	null	null	99.8	8.44	121.025:146 124.04902:72	
1	w/o MS2:2-Hydroxybenzaldehyde	21	0.20465	0.3615833	0.6368667	13.34753	14.30951	15.031	123.0125	121.0288	330.6667	9617.431		[M-H]-	M + 0		null	120.682	121.0295	C7H6O2	Hydroxybenzaldehydes	SMQUZDBALVYZAC-UHFFFAOYSA-N	O=CC=1C=CC=CC1O	510	True	True	True	False	null	97.3	null	null	null	99.8	6.613333		
2	Unknown	7	0.1654333	0.3615833	0.4796	-1	-1	-1	-1	325.1805	1603	23996.75		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.2	325.17422:409 329.18994:69	
3	Unknown	92	0.1654333	0.3615833	0.4796	21.76489	22.84712	23.44836	184.4266	325.1805	959.6667	35149.68	248.965	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.19333	325.17422:63	248.965:1045
4	Unknown	104	0.1654333	0.3615833	0.4796	23.44836	24.2901	25.25208	196.0716	325.1805	308	14459.81		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.16		
5	Unknown	9	0.20465	0.4403833	0.5973	-1	-1	-1	-1	202.9882	6586.667	127353		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	51.09333	202.98819:2200	
6	Unknown	37	0.20465	0.4403833	0.5973	15.39174	16.23348	17.43596	134.1458	202.9882	8096.667	223336.7		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	161.9333	202.97833:190	
7	Unknown	9	0.20465	0.4403833	0.5973	-1	-1	-1	-1	203.0079	2277.667	44726.31		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	21.58	202.98819:2019	
8	Unknown	37	0.20465	0.4403833	0.5973	15.51199	16.23348	17.67646	134.145	203.0079	2766.333	77559.98		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	55.32667	202.97833:141	
9	Unknown	9	0.20465	0.4403833	0.95105	-1	-1	-1	-1	572.0391	1329.333	24855.93		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	26.58667	572.03906:569	
10	Unknown	82	0.20465	0.4403833	0.95105	20.8029	21.64464	22.36613	171.7063	572.0391	1510.333	43895.36		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	30.20667	572.03082:90	
11	Unknown	10	0.2438833	0.4796	0.6368667	-1	-1	-1	-1	217.0024	2744.667	50765.05		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	28.09333	217.00244:1189	
12	Unknown	47	0.2438833	0.4796	0.6368667	16.47398	17.19546	18.0372	141.5347	217.0024	3371.333	92177.35		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	67.42667	216.99225:53 217.00244:288	
13	Unknown	10	0.3615833	0.4796	0.7153333	-1	-1	-1	-1	249.9699	20204	281472		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	353.2333	249.96992:8425	
14	Unknown	6	0.3615833	0.4796	0.7153333	2.044216	12.14505	12.98678	99.22262	249.9699	24839	1094634	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	496.78	249.56004:248 249.70755:173 249.88245:101 249.97539:2177 250.27071:63	248.97:27245
15	Unknown	10	0.3615833	0.4796	0.6761	-1	-1	-1	-1	250.1121	866	10488.12		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17.32	249.96992:8425	
16	Unknown	6	0.3615833	0.4796	0.6761	2.164464	12.14505	12.86654	99.21977	250.1121	1151.667	28029.79	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	23.03333	249.70755:173 249.88245:101 249.97539:2177 250.27071:63	248.97:26997
17	Unknown	10	0.1654333	0.4796	0.8725833	-1	-1	-1	-1	250.2324	481.3333	8730.035		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.626667	249.96992:8425 255.22403:139	
18	Unknown	6	0.1654333	0.4796	0.8725833	2.164464	12.14505	12.74629	99.21737	250.2324	737.6667	15966.51	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.75333	249.88245:101 249.97539:2177 250.27071:63	248.97:29138
19	Unknown	10	0.3615833	0.4796	0.8725833	-1	-1	-1	-1	250.4294	304.6667	2708.926		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.093333	249.96992:8425 255.22403:139	
20	Unknown	7	0.3615833	0.4796	0.8725833	2.164464	12.2653	12.86654	100.1953	250.4294	369.3333	8196.094	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.386667	249.97539:2009	248.97:29138
21	Unknown	10	0.3615833	0.4796	1.06875	-1	-1	-1	-1	499.9466	450	4082.736		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9	499.94656:231	
22	Unknown	78	0.3615833	0.4796	1.06875	20.20166	20.92315	21.76489	166.542	499.9466	401.6667	11507.74	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.033334		248.959:3103 248.97:34504
23	w/o MS2:Phenylphosphoric acid	11	0.08663333	0.5188333	0.6368667	-1	-1	-1	-1	172.9946	2797.333	71742.65		[M-H]-	M + 0		null	null	173.00092	C6H7O4P	Phenyl phosphates	CMPQUABWPXYYSH-UHFFFAOYSA-N	O=P(O)(O)OC=1C=CC=CC1	530	True	True	True	False	null	91.3	null	null	null	82.1	26.12667	172.94914:102 172.99463:636 174.95135:191	
24	w/o MS2:Phenylphosphoric acid	27	0.08663333	0.5188333	0.6368667	14.06902	15.031	16.11323	125.5116	172.9946	3012.667	81290.01		[M-H]-	M + 0		null	129.772	173.00092	C6H7O4P	Phenyl phosphates	CMPQUABWPXYYSH-UHFFFAOYSA-N	O=P(O)(O)OC=1C=CC=CC1	510	True	True	True	False	null	91.3	null	null	null	82.1	60.25333	172.9901:199	
25	Unknown	11	0.2438833	0.5188333	0.6368667	-1	-1	-1	-1	181.0224	552.6667	7799.456		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.01333		
26	Unknown	28	0.2438833	0.5188333	0.6368667	14.55001	15.15125	15.99298	126.1238	181.0224	496.3333	13311.45		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.926666	181.01781:29	
27	Unknown	11	0.40115	0.5188333	0.95105	-1	-1	-1	-1	381.8707	377.3333	3364.693		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.546667	381.86398:48	
28	Unknown	33	0.40115	0.5188333	0.95105	14.06902	14.7905	15.39174	118.7036	381.8707	425.3333	9566.94		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.506667	383.8736:46	248.95947:129 248.97038:1598
29	Unknown	13	0.4796	0.5973	0.7153333	-1	-1	-1	-1	311.167	2325.333	24060.49		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	26.81333	311.16086:766	
30	Unknown	108	0.4796	0.5973	0.7153333	21.40414	22.36613	22.84712	180.8671	311.167	987	33964.06	183.005	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	19.74	311.16086:89	183.005:782 184.022:152
31	Unknown	119	0.4796	0.5973	0.7153333	22.84712	23.68886	24.41034	191.5608	311.167	666.3333	29981.45		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.32667	311.16086:80	
