PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.1334833	0.2904167	0.8409666	-1	-1	-1	-1	499.9543	601.3333	10635.56		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.02667		
1	Unknown	53	0.1334833	0.2904167	0.8409666	16.11323	16.83472	17.43596	134.0084	499.9543	291.3333	6846.914		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.826667		183.99831:43
2	Unknown	88	0.1334833	0.2904167	0.8409666	20.32191	21.0434	21.88514	167.4988	499.9543	451.3333	13224.88		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.026667		248.97038:391
3	Unknown	7	0.0547	0.3296333	0.68405	-1	-1	-1	-1	160.9936	319.6667	2262.408		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.393333		
4	Unknown	30	0.0547	0.3296333	0.68405	12.98678	13.70827	14.30951	115.064	160.9936	278.6667	6919.063		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.573333	160.99358:62	
5	Unknown	7	0.21195	0.3296333	0.4869	-1	-1	-1	-1	297.152	723.3333	9101.431		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.066667	297.08051:84	
6	Unknown	101	0.21195	0.3296333	0.4869	21.2839	22.24588	23.68886	180.245	297.152	582.6667	22063.11		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.65333		248.97038:48
7	Unknown	7	0.21195	0.3296333	0.7232834	-1	-1	-1	-1	557.0037	20543	381895.5		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	410.3867	556.97925:287 557.00372:8018 558.00806:312 560.87073:5084 561.8703:353	
8	Unknown	90	0.21195	0.3296333	0.7232834	20.08142	20.92315	21.88514	166.0888	557.0037	22622.67	710651.3	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	452.4533	556.97925:100 557.00372:1960 558.00806:140	248.97:36498 471.92801:705
9	Unknown	7	0.1334833	0.3296333	0.8805333	-1	-1	-1	-1	581.0063	630.6667	8933.921		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.61333	581.00635:277	
10	Unknown	101	0.1334833	0.3296333	0.8805333	21.52439	22.24588	22.96737	176.411	581.0063	772.6667	18549.48		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.45333	580.98969:52	248.97038:48
11	Unknown	8	0.2511833	0.3692	0.9197667	-1	-1	-1	-1	604.8432	891	15293.48		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17.82	606.83496:107 607.84058:63	
12	Unknown	65	0.2511833	0.3692	0.9197667	17.43596	18.0372	18.75869	142.915	604.8432	1181.667	30028.33		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	23.63333	604.82623:35 604.8432:90	471.92758:101
13	Unknown	9	0.2904167	0.4084333	0.68405	-1	-1	-1	-1	172.9583	1032.333	12665.49		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	18.88	172.9537:301 172.9901:489 174.95593:569	
14	Unknown	41	0.2904167	0.4084333	0.68405	14.30951	15.031	15.99298	125.5135	172.9583	1044.333	29523.28		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.88667	172.9537:77 172.9901:157	156.94321:28
15	Unknown	9	0.2904167	0.4084333	0.7232834	-1	-1	-1	-1	250.9769	377.6667	4745.362		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.553333	255.22955:399	
16	Unknown	16	0.2904167	0.4084333	0.7232834	11.42356	12.14505	12.74629	99.20255	250.9769	530.3333	11478.86	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.60667	250.97691:52	248.92101:453 248.97:406268 249.325:2796 249.358:2469 249.53799:1506 249.63699:1185 249.855:450 249.97:17201
17	Unknown	10	0.3296333	0.4476667	0.8409666	-1	-1	-1	-1	558.0081	1304.667	14203.38		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	26.09333	558.00806:554 560.85437:1121 560.87073:5030 561.8703:362 562.87079:2253	
18	Unknown	90	0.3296333	0.4476667	0.8409666	20.20166	20.92315	21.76489	166.0817	558.0081	1445.333	39422.11	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	28.90667	557.99988:147	154.063:25 248.97:36464 249.97:1223
19	Unknown	10	0.2511833	0.4476667	1.037467	-1	-1	-1	-1	628.1015	710.6667	8987.104		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.21333	628.08423:77	
20	Unknown	116	0.2511833	0.4476667	1.037467	23.20786	24.0496	24.77109	190.3817	628.1015	770.6667	23044.31		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.41333	628.09283:50	248.97585:60
21	Unknown	10	0.2511833	0.4476667	0.9982333	-1	-1	-1	-1	628.1102	588	7704.459		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.76		
22	Unknown	115	0.2511833	0.4476667	0.9982333	23.20786	24.0496	24.77109	190.3816	628.1102	656	18376.28		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	13.12	628.11023:54	
23	Unknown	11	0.2511833	0.4869	0.959	-1	-1	-1	-1	383.8736	532	8305.344		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.64	383.8736:309	
24	Unknown	33	0.2511833	0.4869	0.959	14.18926	14.7905	15.39174	118.6824	383.8736	628.3333	13600.06		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.56667	383.8736:120	248.95947:51 248.97038:1292
25	Unknown	12	0.4084333	0.5261334	0.80175	-1	-1	-1	-1	472.9423	598.3333	5376.972		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.96667		
26	Unknown	35	0.4084333	0.5261334	0.80175	14.30951	15.031	15.63224	119.8365	472.9423	590	14898.72	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.8		248.959:753 248.97:10530 471.92801:1037
27	Unknown	13	0.1334833	0.5653667	0.959	-1	-1	-1	-1	264.1566	323.6667	2558.076		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.473333	265.14673:1163 267.22861:444	
28	Unknown	80	0.1334833	0.5653667	0.959	19.72067	20.44216	21.16365	166.5232	264.1566	267	7647.771	253.212	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.34	265.14673:61	253.21201:10226 265.14099:574
29	Unknown	13	0.3692	0.5653667	0.68405	-1	-1	-1	-1	339.1968	1040.333	11809.2		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17.64	339.19049:361 339.89777:553	
30	Unknown	103	0.3692	0.5653667	0.68405	22.36613	23.20786	23.8091	187.0306	339.1968	604	19899.84		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.08		283.26794:27 311.16696:80
31	Unknown	114	0.3692	0.5653667	0.68405	23.8091	24.53059	25.61282	197.6877	339.1968	213.3333	9414.22		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	4.266667	339.19049:45 339.19684:26	
32	Unknown	13	0.0547	0.5653667	1.115917	-1	-1	-1	-1	485.3332	2598.333	28096.42		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	51.96667	485.27982:8345 486.27826:2351	
33	Unknown	147	0.0547	0.5653667	1.115917	27.65704	28.49878	29.46076	227.006	485.3332	1801.667	67159.67	485.28	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	36.03333	485.27982:1027 486.28589:321	485.26501:1472 485.28:7523 486.27802:2605 487.285:394
34	Unknown	13	0.1727167	0.5653667	0.9197667	-1	-1	-1	-1	738.4615	476	3377.825		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.52		
35	Unknown	191	0.1727167	0.5653667	0.9197667	33.42894	34.39093	35.23266	271.3559	738.4615	321.6667	10302.84		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.433333		
36	Unknown	14	0.2904167	0.6046	0.8805333	-1	-1	-1	-1	205.1568	335.3333	2449.598		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	6.706666		
37	Unknown	66	0.2904167	0.6046	0.8805333	18.15745	18.75869	19.48018	154.9059	205.1568	294.6667	7452.978		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	5.893333	205.15683:48 205.16179:26 205.16673:21	
38	Unknown	14	0.4869	0.6046	0.7625167	-1	-1	-1	-1	311.167	2359.667	33811.71		[M-H]-	M + 0	found in higher mz's MsMs_39; found in higher mz's MsMs_30	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.38667	311.16696:1051 313.23218:174 315.2551:710	
39	Unknown	97	0.4869	0.6046	0.7625167	21.40414	22.48638	22.96737	181.8393	311.167	1336.667	48224.25		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	26.73333	311.16086:122	237.2175:21 253.21707:163 255.22403:94 269.24484:37 281.23456:29 281.24615:172 283.25629:86 297.24146:29 311.16696:140
40	Unknown	106	0.4869	0.6046	0.7625167	22.96737	23.56861	24.77109	190.5886	311.167	910	32726.72	281.24	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	18.2	311.16086:54	84.046:2 281.23999:767 283.25601:82
41	Unknown	14	0.4869	0.6046	0.7625167	-1	-1	-1	-1	311.167	2359.667	33811.71		[M-H]-	M + 0	found in higher mz's MsMs_39; found in higher mz's MsMs_30	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.38667	311.16696:1051	
42	Unknown	97	0.4869	0.6046	0.7625167	21.40414	22.48638	22.96737	181.8393	311.167	1371.333	48367.34		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	27.42667	311.16086:107	255.22403:58 256.23602:64 281.23456:29 281.24615:138 283.25629:83 297.24146:29 311.16696:171
