PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	6	0.20715	0.32485	0.5998	-1	-1	-1	-1	188.9708	4201	88499.16		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	26.74667	188.97079:1581 192.95616:75	
1	Unknown	40	0.20715	0.32485	0.5998	14.42976	15.15125	16.59422	125.7678	188.9708	4767.667	146086.8	142.964	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	95.35333	188.96129:55 188.97079:341	98.976:213 142.964:1593
2	Unknown	6	0.20715	0.32485	0.8355167	-1	-1	-1	-1	250.2379	441	8043.892		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.82	249.97539:8048 255.11906:78 255.23508:399	
3	Unknown	15	0.20715	0.32485	0.8355167	11.54381	12.14505	12.86654	99.21726	250.2379	626	14682.27	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.52	249.80592:125 249.97539:2578 250.15584:97	248.97:419028 249.347:2674 249.735:816 249.97:17996
4	Unknown	6	0.1679333	0.32485	0.7962833	-1	-1	-1	-1	471.9426	13926.33	320698.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	268.7267	471.92007:602 471.9426:5308	
5	Unknown	38	0.1679333	0.32485	0.7962833	14.06902	14.91075	15.87274	118.8852	471.9426	16486	467372.6	471.928	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	329.72	471.9426:1455	248.959:767 248.97:12546 471.92801:1557
6	Unknown	6	0.08913333	0.32485	0.95355	-1	-1	-1	-1	604.8432	1188	19548.64		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	23.76	604.8432:499	
7	Unknown	65	0.08913333	0.32485	0.95355	17.43596	18.15745	18.87894	143.8675	604.8432	1410.333	37524.59		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	28.20667	606.84344:70	
8	Unknown	7	0.2463833	0.3640833	0.5605667	-1	-1	-1	-1	161.0813	732.3333	5658.832		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.22667	161.08134:272	
9	Unknown	43	0.2463833	0.3640833	0.5605667	14.91075	15.51199	16.47398	130.1923	161.0813	485	16312.85		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.7		108.02239:25 148.96771:40
10	Unknown	7	0.2463833	0.3640833	0.4821	-1	-1	-1	-1	311.167	1894.333	21657.73		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.93333	311.16696:903	
11	Unknown	99	0.2463833	0.3640833	0.4821	21.40414	22.24588	22.72687	179.895	311.167	756.3333	23985.88		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	15.12667		311.16086:69
