PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	w/o MS2:4-Hydroxy-6-methyl-2-pyrone	7	0.13125	0.3284	0.4856667	-1	-1	-1	-1	125.0292	504.3333	4662.31		[M-H]-	M + 0		null	null	125.02441	C6H6O3	Pyranones and derivatives	NSYSSMYQPLSPOD-UHFFFAOYSA-N	O=C1OC(=CC(O)=C1)C	530	True	True	True	False	null	100	null	null	null	89.1	10.08667	125.02536:127 128.00473:126 128.03604:1391	
1	w/o MS2:4-Hydroxy-6-methyl-2-pyrone	21	0.13125	0.3284	0.4856667	13.22728	13.94877	14.55001	119.5515	125.0292	450.3333	12243.66		[M-H]-	M + 0		null	119.563	125.02441	C6H6O3	Pyranones and derivatives	NSYSSMYQPLSPOD-UHFFFAOYSA-N	O=C1OC(=CC(O)=C1)C	510	True	True	True	False	null	100	null	null	null	89.1	9.006667	125.02536:35	107.0327:45
2	w/o MS2:Palmitic acid	7	0.13125	0.3284	0.4464333	-1	-1	-1	-1	255.2296	1715.667	25223.04		[M-H]-	M + 0		null	null	255.23296	C16H32O2	Long-chain fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCC	530	True	True	True	False	null	96.9	null	null	null	94.4	15.34	255.22403:307	
3	w/o MS2:Palmitic acid	77	0.13125	0.3284	0.4464333	19.84092	20.68266	21.40414	168.764	255.2296	1364.667	45551.16	249.975	[M-H]-	M + 0		null	171.289	255.23296	C16H32O2	Long-chain fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCC	510	True	True	True	False	null	96.9	null	null	null	94.4	27.29333	255.22955:113	248.97:29382 249.97501:947
4	w/o MS2:Palmitic acid	94	0.13125	0.3284	0.4464333	22.12563	22.72687	23.44836	185.4395	255.2296	301.3333	6998.426		[M-H]-	M + 0		null	171.289	255.23296	C16H32O2	Long-chain fatty acids	IPCSVZSSVZVIGE-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCC	530	True	False	True	False	null	36.7	null	null	null	94.4	6.026667		
5	Unknown	8	0.2499333	0.3676333	0.68215	-1	-1	-1	-1	158.9772	1016.333	13103.65		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.32667		
6	Unknown	24	0.2499333	0.3676333	0.68215	13.22728	13.94877	14.67026	117.1918	158.9772	1283.333	30288.09	107.04	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	25.66667	158.97284:76	107.04:341
7	w/o MS2:Phenylphosphoric acid	8	0.1714833	0.3676333	0.60335	-1	-1	-1	-1	172.9946	3565.333	70698.36		[M-H]-	M + 0		null	null	173.00092	C6H7O4P	Phenyl phosphates	CMPQUABWPXYYSH-UHFFFAOYSA-N	O=P(O)(O)OC=1C=CC=CC1	530	True	True	True	False	null	91.3	null	null	null	82.1	41.85333	172.98553:294 173.99216:295 174.95593:533	
8	w/o MS2:Phenylphosphoric acid	33	0.1714833	0.3676333	0.60335	14.18926	15.031	15.75249	125.5116	172.9946	4283	120062.8	142.96	[M-H]-	M + 0		null	129.772	173.00092	C6H7O4P	Phenyl phosphates	CMPQUABWPXYYSH-UHFFFAOYSA-N	O=P(O)(O)OC=1C=CC=CC1	510	True	True	True	False	null	91.3	null	null	null	82.1	85.66	172.99463:299	85.01:58 142.96001:485
9	Unknown	8	0.2499333	0.3676333	0.6425833	-1	-1	-1	-1	188.9708	6076.667	113372.1		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	80.00667	188.97079:2075	
10	Unknown	35	0.2499333	0.3676333	0.6425833	14.42976	15.2715	16.11323	126.7656	188.9708	7091	198798.8	142.964	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	141.82	188.96129:28 188.97079:703 190.97739:32	142.964:1270
11	Unknown	8	0.1714833	0.3676333	0.8783	-1	-1	-1	-1	381.8775	469.6667	7260.186		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.393333	381.87073:139	
12	Unknown	31	0.1714833	0.3676333	0.8783	14.06902	14.7905	15.51199	118.7035	381.8775	649.3333	15403.78		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.98667		138.92883:34 248.97038:1149
13	w/o MS2:2-Hydroxybenzaldehyde	9	0.13125	0.4072	0.60335	-1	-1	-1	-1	121.0288	305	2159.363		[M-H]-	M + 0		null	null	121.0295	C7H6O2	Hydroxybenzaldehydes	SMQUZDBALVYZAC-UHFFFAOYSA-N	O=CC=1C=CC=CC1O	530	True	True	True	False	null	94.5	null	null	null	99.8	6.1		
14	w/o MS2:2-Hydroxybenzaldehyde	28	0.13125	0.4072	0.60335	13.82852	14.42976	15.2715	124.0458	121.0288	235	6601.614		[M-H]-	M + 0		null	120.682	121.0295	C7H6O2	Hydroxybenzaldehydes	SMQUZDBALVYZAC-UHFFFAOYSA-N	O=CC=1C=CC=CC1O	510	True	True	True	False	null	94.5	null	null	null	99.8	4.7		
15	Unknown	9	0.2891667	0.4072	0.5641167	-1	-1	-1	-1	173.9967	922.6667	8188.717		[M-H]-	M + 1	isotope of 3	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	17.10667	174.95135:495	
16	Unknown	33	0.2891667	0.4072	0.5641167	14.30951	15.031	15.75249	125.4613	173.9967	809.6667	22734.07	85.013	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	16.19333	173.9967:101	85.013:570 109.027:52
17	Unknown	9	0.2499333	0.4072	0.6425833	-1	-1	-1	-1	248.9322	788	10673.43		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.07333	248.97038:141712 249.31427:1488 249.45079:1008 249.69662:539 249.97539:7969	
18	Unknown	9	0.2499333	0.4072	0.6425833	9.379344	12.14505	12.86654	99.24345	248.9322	1040	26297.01	248.97	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	20.8	248.97038:39577 249.45079:337 249.66383:185 249.79498:122 249.97539:2425 250.2926:46 250.97691:45	248.97:372809 249.39101:2075 249.56:1338 249.69099:1059 249.97501:16350
19	Unknown	9	0.05278333	0.4072	0.5248833	-1	-1	-1	-1	282.2039	727.3333	9190.338		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	12.83333	282.20386:491 283.26212:519	
20	Unknown	86	0.05278333	0.4072	0.5248833	20.44216	21.40414	22.36613	173.822	282.2039	462.3333	17647.6		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	9.246667	282.20386:55	248.97038:163
21	Unknown	9	0.2499333	0.4072	0.8390667	-1	-1	-1	-1	472.9348	585	9134.759		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	11.7	472.93475:258	
22	Unknown	33	0.2499333	0.4072	0.8390667	14.30951	15.031	15.63224	119.8366	472.9348	743.6667	18643.24	471.928	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	14.87333	472.93475:91	85.013:956 109.027:33 248.965:9017 471.92801:1524
23	Unknown	10	0.2107	0.4464333	0.6425833	-1	-1	-1	-1	217.0024	2493	52988.57		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	27.01333	216.99225:210 217.00244:997	
24	Unknown	62	0.2107	0.4464333	0.6425833	16.11323	17.19546	18.0372	141.5347	217.0024	3119	85922.03		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	62.38	216.99225:57 217.00244:289	
