"PrecursorName.Replicate","PrecursorName","Label","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","featTarget","Total.Area","Precursor.Mz","Precursor.SignalToNoise","CountFragments"
"raw17209.Apseud_SF42_IMS_08_08_20V_25Aug20","raw17209","target",0.995122595892631,0.068729975438738,0.0171428571428572,0.0402965199962667,-0.0471428571428571,14.2677959054649,13.7,0.99222815167042,17209,238836,316.17029,1712,7
"raw17209.Apseud_SF42_IMS_11_11_20V_25Aug20","raw17209","target",0.999993236459602,0.0832666399786453,0.0266666666666667,0.0115470053837925,0.0166666666666667,6.30581741991737,7.26666666666667,0.99724657682375,17209,186712,316.17029,2778,3
"raw17209.Apseud_SF42_IMS_15_15_20V_25Aug20","raw17209","target",0.999968097093918,0.105830052442584,-3.70096929086979e-17,0.0602771377334171,-0.00666666666666667,1.44683562761405,10.2333333333333,0.995289056359695,17209,283953,316.17029,2028,3
"raw17800.Apseud_SF42_IMS_07_07_20V_25Aug20","raw17800","target",0.999978827855818,0,0,0.0152752523165195,0.0166666666666667,5.82866479850517,2.13333333333333,0.99792183829042,17800,37745,325.18018,22372,3
"raw17800.Apseud_SF42_IMS_14_14_20V_25Aug20","raw17800","target",0.998711995430599,0.08,-0.04,0.0182574185835055,0.02,36.235571841309,24.65,0.79108768947709,17800,51407,325.18018,30324,4
"raw18048.Aniger_SF53_IMS_18_34_20V_25Aug20","raw18048","target",0.636252518707746,0.125033328890074,0.0166666666666666,0.119303534454489,0.446666666666667,10.7108978770845,-7.76666666666667,0.978434012169343,18048,22942,330.91101,6.29857231533209,3
"raw18264.Aniger_SF42_IMS_09_25_20V_25Aug20","raw18264","target",0.999993568346962,0.122882057274445,-0.00999999999999979,0,0.1,20.5806543465783,15.4333333333333,0.97999115788622,18264,195646,333.15424,6639,3
"raw18371.Aniger_SF53_IMS_27_43_20V_25Aug20","raw18371","target",0.998931396413527,0.0611010092660779,0.0133333333333333,0.0461880215351701,0.0233333333333333,7.46257328272225,7.8,0.998680038724822,18371,49721,333.15549,13872,3
"raw18919.Aniger_SF42_IMS_12_28_20V_25Aug20","raw18919","target",0.998919344533504,0.0556776436283002,-0.00999999999999997,0.0251661147842358,0.00666666666666666,45.3441286166136,35,0.345482446021883,18919,8223,339.19656,494,3
"raw19760.Aniger_SF42_IMS_01_17_20V_25Aug20","raw19760","target",0.999473810386347,0.0230940107675851,-0.0133333333333333,0.0208166599946613,-0.0133333333333333,9.60277737601645,19.6333333333333,0.995609659346114,19760,178421,351.24969,55936,3
"raw19960.Aniger_SF42_IMS_09_25_20V_25Aug20","raw19960","target",0.999864603921354,0.04,0.04,0.0173205080756888,-0.01,15.7296959072111,16.3666666666667,0.993737822434365,19960,238658,357.22443,22957,3
"raw19960.Aniger_SF42_IMS_10_26_20V_25Aug20","raw19960","target",0.988306780719328,0.04618802153517,0.0266666666666667,0.0208166599946613,0.0233333333333333,11.1516814875605,8.4,0.998168174563519,19960,53598,357.22443,32980,3
"raw19960.Apseud_SF42_IMS_02_02_20V_25Aug20","raw19960","target",0.999967944193858,0.04618802153517,0.0533333333333333,0.0173205080756888,4.62592926927149e-18,20.9938879994472,4.53333333333333,0.995550175812817,19960,31162,357.22443,1273,3
"raw20028.Aniger_SF53_IMS_18_34_20V_25Aug20","raw20028","target",0.999833263319077,0.0461880215351701,0.0566666666666667,0.00577350269189625,0.00666666666666666,7.75263396100534,10.8666666666667,0.995943025083937,20028,29261,358.9913,8410,3
"raw20173.Apseud_SF42_IMS_01_01_20V_25Aug20","raw20173","target",0.988053451214069,0.122882057274445,-0.05,0.07,9.25298791580598e-18,39.6492538811682,-24.4333333333333,0.977452823702689,20173,186221,361.25531,54552,3
"raw20173.Apseud_SF42_IMS_12_12_20V_25Aug20","raw20173","target",0.999695211216446,0.023094010767585,0.0533333333333333,0.0513160143944688,-0.00666666666666668,9.1106165177409,6.03333333333333,0.99729365339817,20173,340054,361.25531,84140,3
"raw20580.Apseud_SF42_IMS_11_11_20V_25Aug20","raw20580","target",0.999681131034143,0.0382970843102535,-0.03,0.0275378527364305,-0.0475,24.3012173906302,-1.275,0.996520482695225,20580,670763,371.31482,260851,4
"raw20619.Aniger_SF42_IMS_01_17_20V_25Aug20","raw20619","target",0.999623893107388,0.0346410161513777,-0.0300000000000001,0.0219089023002066,0.02,29.2044973705535,-1.63333333333333,0.996950759428227,20619,117336,371.97479,28237,6
"raw20619.Aniger_SF42_IMS_02_18_20V_25Aug20","raw20619","target",0.998453892573187,0.0252982212813471,0,0.02,-2.31324697895149e-18,22.5068656191838,6.85,0.997253778657741,20619,99842,371.97479,20629,6
