"PrecursorName.Replicate","PrecursorName","Label","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","featTarget","Total.Area","Precursor.Mz","Precursor.SignalToNoise","CountFragments"
"xxx12298.Pput_Muck_2224_IMS_5ul_R2_08_20V_redo_12Sep","xxx12298","decoy",0.866747093348376,0.132790561913614,0.193333333333334,0.155884572681199,-0.19,47.2849870466303,72.7,0.000205183380362701,12298,20111,272.92859,5230,3
"xxx12298.Pput_Muck_5042_IMS_5ul_R1_10_20V_redo_12Sep","xxx12298","decoy",0.175235657297181,0.063508529610859,0.113333333333334,0.0577350269189626,-0.0566666666666667,48.0355423965769,72.2666666666667,5.01435346791667e-05,12298,8495,272.92859,2759,3
"xxx12588.Pput_CJ019_WT_IMS_5ul_R2_02_20V_redo_12Sep","xxx12588","decoy",0.99303417414307,0.0864098759787714,0.0933333333333333,0.121764800606196,-0.0633333333333333,40.5259299708224,51.45,7.89760443989357e-06,12588,180648,275.05792,43525,6
"xxx12588.Pput_CJ019_WT_IMS_5ul_R3_03_20V_redo_12Sep","xxx12588","decoy",0.911548104564162,0.0657267069006199,0.14,0.0457893728573199,-0.0283333333333333,47.4553544572861,59.7666666666667,2.23705808968863e-05,12588,294732,275.05792,45351,6
"xxx12726.Pput_CJ019_WT_IMS_5ul_R2_02_20V_redo_12Sep","xxx12726","decoy",0.476844847214728,0.126609636284131,0.115,0.161668384870594,-0.0816666666666667,44.9745112999204,43.1666666666667,6.00839414931383e-06,12726,127860,277.1207,11404,6
"xxx12726.Pput_CJ019_WT_IMS_5ul_R3_03_20V_redo_12Sep","xxx12726","decoy",0.483927805265899,0.06572670690062,0.1,0.0908662020041922,0.141666666666667,46.4617979276165,40.3666666666667,0.000165153357093422,12726,123399,277.1207,12.7306501547988,6
"xxx12887.Pput_CJ019_WT_IMS_5ul_R2_02_20V_redo_12Sep","xxx12887","decoy",0.892608515064048,0.149666295470958,0.04,0.127279220613579,-0.08,38.4419909300581,43.6,9.60287377959274e-05,12887,692067,279.00632,195371,4
"xxx12887.Pput_CJ019_WT_IMS_5ul_R2_02_40V_12Sep","xxx12887","decoy",0.660462308312024,0.195021366350801,-0.00333333333333334,0.200333056017556,-0.123333333333333,49.2866107578925,44.1,5.16424312615977e-05,12887,322790,279.00632,170748,3
"xxx12887.Pput_CJ019_WT_IMS_5ul_R3_03_40V_12Sep","xxx12887","decoy",0.980470621921656,0.083815273071201,-0.0275,0.0298607881119482,0.00749999999999999,10.3680599278103,13.85,0.985090749763429,12887,336500,279.00632,174911,4
"xxx12887.Pput_Muck_1642_IMS_5ul_R2_05_20V_redo_12Sep","xxx12887","decoy",0.754400547651855,0.196044212700435,0.0233333333333334,0.166433169770932,-0.12,72.9451163546951,29.3,1.45901229917646e-05,12887,506083,279.00632,363056,3
"xxx12887.Pput_Muck_1642_IMS_5ul_R3_06_40V_12Sep","xxx12887","decoy",0.993991130373883,0.13856406460551,0.08,0.170977581376429,-0.113333333333333,51.0746838789369,42.6333333333333,3.46361177260787e-06,12887,348062,279.00632,190475,3
"xxx12887.Pput_Muck_2224_IMS_5ul_R1_07_20V_redo_12Sep","xxx12887","decoy",0.900309154109211,0.105830052442584,-0.12,0.0152752523165195,0.00666666666666666,37.9726217161786,-6.4,0.131966241733963,12887,396102,279.00632,265760,3
"xxx12887.Pput_Muck_2224_IMS_5ul_R1_07_40V_12Sep","xxx12887","decoy",0.372326158552477,0.177857620959388,0.0366666666666667,0.17058722109232,-0.08,44.8994803236444,48.5666666666667,2.598030911445e-05,12887,471036,279.00632,273720,3
"xxx12887.Pput_Muck_2224_IMS_5ul_R2_08_40V_12Sep","xxx12887","decoy",0.987938092139569,0.109696551146029,0.095,0.129967944765879,-0.1175,49.2764565149186,57.475,1.28035603329577e-06,12887,643037,279.00632,126.040101308569,4
"xxx12887.Pput_Muck_2224_IMS_5ul_R3_09_20V_redo_12Sep","xxx12887","decoy",0.98498592109019,0.0683130051063973,-0.03,0.0173205080756888,-0.005,25.6134567496593,-0.625000000000001,0.978457854450789,12887,820962,279.00632,73.5018544935806,4
"xxx12887.Pput_Muck_2224_IMS_5ul_R3_09_40V_12Sep","xxx12887","decoy",0.998275151808544,0.115,0.0575,0.146600363801277,-0.0975,45.861412610894,33.425,2.48102930139779e-05,12887,476023,279.00632,269526,4
"xxx12887.Pput_Muck_5042_IMS_5ul_R1_10_20V_redo_12Sep","xxx12887","decoy",0.992902312451802,0.128062484748657,0.05,0.156737572606783,-0.075,58.0290157306383,18.4,1.03861903061702e-05,12887,616426,279.00632,167499,4
"xxx12887.Pput_Muck_5042_IMS_5ul_R2_11_40V_12Sep","xxx12887","decoy",0.762126425674333,0.196044212700435,0.0633333333333334,0.19,-0.09,46.3650730615191,46.8,4.83402026961527e-05,12887,174480,279.00632,70030,3
"xxx12887.Pput_Muck_5042_IMS_5ul_R3_12_20V_redo_12Sep","xxx12887","decoy",0.832252469822659,0.0886942313043338,-0.07,0.0206155281280883,0.0025,30.0910147164676,7.375,0.655205743956007,12887,301752,279.00632,48785,4
"xxx12887.Pput_Muck_5042_IMS_5ul_R3_12_40V_12Sep","xxx12887","decoy",0.740505148139552,0.156311654502578,0.103333333333333,0.164620776331543,-0.11,45.0626600783102,48.0666666666667,1.06500681063675e-05,12887,149509,279.00632,70709,3
"xxx13386.Pput_Muck_1642_IMS_5ul_R2_05_20V_redo_12Sep","xxx13386","decoy",0.958157879539367,0.0351188458428425,0.0333333333333334,0.00577350269189625,0.00333333333333333,3.38673884437522,14.8,0.971921593704909,13386,183128,285.06921,38758,3
"xxx13942.Pput_CJ019_WT_IMS_5ul_R2_02_20V_redo_12Sep","xxx13942","decoy",0.960377611341926,0.149527032115713,0.0475,0.17710637105047,-0.085,46.6841425611167,37.525,1.37314588855066e-05,13942,773167,293.02948,190868,4
"xxx13942.Pput_CJ019_WT_IMS_5ul_R3_03_20V_redo_12Sep","xxx13942","decoy",0.908978450404409,0.0748331477354788,0.0399999999999999,0.102323017938292,-0.078,42.465597841076,61.98,4.79501732718454e-06,13942,624091,293.02948,133602,5
"xxx13942.Pput_Muck_2224_IMS_5ul_R3_09_20V_redo_12Sep","xxx13942","decoy",0,0,0.16,0,-0.19,0,100,0.00599524910107656,13942,315344,293.02948,92.2863247863248,3
"xxx13942.Pput_Muck_5042_IMS_5ul_R2_11_20V_redo_12Sep","xxx13942","decoy",0.158806565309247,0.105830052442584,-7.40126095538178e-17,0.126622799421484,-0.0466666666666667,61.2771844435866,29.7333333333333,1.57939012584315e-06,13942,267189,293.02948,63278,3
"xxx13942.Pput_Muck_5042_IMS_5ul_R3_12_20V_redo_12Sep","xxx13942","decoy",0.942130343461412,0.0819756061276767,0.0319999999999999,0.104307238483242,-0.076,39.6136718823186,64.24,9.00131989321263e-06,13942,606882,293.02948,29417,5
"xxx13988.Pput_CJ019_WT_IMS_5ul_R1_01_20V_redo_12Sep","xxx13988","decoy",0.351895839765453,0.105198225587063,0.07,0.237276210354093,-0.175,51.1329883734561,55.725,3.20401247433249e-05,13988,792919,293.17157,373417,4
"xxx13988.Pput_CJ019_WT_IMS_5ul_R2_02_20V_redo_12Sep","xxx13988","decoy",0.926403640634224,0.0824621125123532,0.09,0.234147389479362,-0.1975,49.7300294925846,57.075,4.34312920616277e-05,13988,934087,293.17157,417017,4
"xxx13988.Pput_CJ019_WT_IMS_5ul_R3_03_20V_redo_12Sep","xxx13988","decoy",0.873976518724936,0.236414184571626,-0.0175,0.239304547943968,-0.07,46.4208555859684,31.425,0.00201612138071447,13988,923490,293.17157,457610,4
"xxx13988.Pput_Muck_1642_IMS_5ul_R2_05_20V_redo_12Sep","xxx13988","decoy",0.602387844968533,0.109544511501033,0.1,0.244438131231606,-0.175,53.2133598513256,33.6166666666667,3.52773512449992e-05,13988,944648,293.17157,707.306990881459,6
"xxx13988.Pput_Muck_1642_IMS_5ul_R3_06_20V_redo_12Sep","xxx13988","decoy",0.727578197612436,0.105198225587063,0.11,0.22,-0.17,48.9819949913571,57.725,1.33032134738174e-05,13988,912267,293.17157,432885,4
"xxx13988.Pput_Muck_2224_IMS_5ul_R1_07_20V_redo_12Sep","xxx13988","decoy",0.77452191264757,0.234982268834622,0.0683333333333333,0.281921975021459,-0.14,54.2448307829112,33.1166666666667,0.000564215220059447,13988,747948,293.17157,357401,6
"xxx13988.Pput_Muck_2224_IMS_5ul_R2_08_20V_redo_12Sep","xxx13988","decoy",0.348928074139235,0.1,0.15,0.175,-0.2425,45.6,77.2,0.000426146346017272,13988,810718,293.17157,408600,4
