"PrecursorName","Replicate","Total.Area"
"07_succinic acid","Muck_5042_IMS_5ul_R3_12_20V_redo",198461
"07_succinic acid","Muck_5042_IMS_5ul_R3_12_40V",150726
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R1_01_20V_redo",2030
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R1_01_40V",7737
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R2_02_20V_redo",NA
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R2_02_40V",452
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R3_03_20V_redo",NA
"08_alpha-ketoglutaric acid (aKG)","CJ019_WT_IMS_5ul_R3_03_40V",1469
"08_alpha-ketoglutaric acid (aKG)","Muck_1642_IMS_5ul_R2_05_20V_redo",4181
"08_alpha-ketoglutaric acid (aKG)","Muck_1642_IMS_5ul_R2_05_40V",8853
"08_alpha-ketoglutaric acid (aKG)","Muck_1642_IMS_5ul_R3_06_20V_redo",4440
"08_alpha-ketoglutaric acid (aKG)","Muck_1642_IMS_5ul_R3_06_40V",5545
"08_alpha-ketoglutaric acid (aKG)","Muck_2224_IMS_5ul_R1_07_20V_redo",2691
"08_alpha-ketoglutaric acid (aKG)","Muck_2224_IMS_5ul_R1_07_40V",5618
"08_alpha-ketoglutaric acid (aKG)","Muck_2224_IMS_5ul_R2_08_20V_redo",4332
"08_alpha-ketoglutaric acid (aKG)","Muck_2224_IMS_5ul_R2_08_40V",8020
"08_alpha-ketoglutaric acid (aKG)","Muck_2224_IMS_5ul_R3_09_20V_redo",7855
"08_alpha-ketoglutaric acid (aKG)","Muck_2224_IMS_5ul_R3_09_40V",4449
"08_alpha-ketoglutaric acid (aKG)","Muck_5042_IMS_5ul_R1_10_20V_redo",4682
"08_alpha-ketoglutaric acid (aKG)","Muck_5042_IMS_5ul_R1_10_40V",2301
"08_alpha-ketoglutaric acid (aKG)","Muck_5042_IMS_5ul_R2_11_20V_redo",162
"08_alpha-ketoglutaric acid (aKG)","Muck_5042_IMS_5ul_R2_11_40V",2796
"08_alpha-ketoglutaric acid (aKG)","Muck_5042_IMS_5ul_R3_12_20V_redo",1801
"08_alpha-ketoglutaric acid (aKG)","Muck_5042_IMS_5ul_R3_12_40V",2804
"09_lactic acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",220366
"09_lactic acid","CJ019_WT_IMS_5ul_R1_01_40V",243023
"09_lactic acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",233475
"09_lactic acid","CJ019_WT_IMS_5ul_R2_02_40V",208974
"09_lactic acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",268472
"09_lactic acid","CJ019_WT_IMS_5ul_R3_03_40V",242819
"09_lactic acid","Muck_1642_IMS_5ul_R2_05_20V_redo",160335
"09_lactic acid","Muck_1642_IMS_5ul_R2_05_40V",214458
"09_lactic acid","Muck_1642_IMS_5ul_R3_06_20V_redo",171748
"09_lactic acid","Muck_1642_IMS_5ul_R3_06_40V",148199
"09_lactic acid","Muck_2224_IMS_5ul_R1_07_20V_redo",124683
"09_lactic acid","Muck_2224_IMS_5ul_R1_07_40V",152782
"09_lactic acid","Muck_2224_IMS_5ul_R2_08_20V_redo",123630
"09_lactic acid","Muck_2224_IMS_5ul_R2_08_40V",114092
"09_lactic acid","Muck_2224_IMS_5ul_R3_09_20V_redo",134292
"09_lactic acid","Muck_2224_IMS_5ul_R3_09_40V",115423
"09_lactic acid","Muck_5042_IMS_5ul_R1_10_20V_redo",136598
"09_lactic acid","Muck_5042_IMS_5ul_R1_10_40V",145814
"09_lactic acid","Muck_5042_IMS_5ul_R2_11_20V_redo",85552
"09_lactic acid","Muck_5042_IMS_5ul_R2_11_40V",67342
"09_lactic acid","Muck_5042_IMS_5ul_R3_12_20V_redo",88931
"09_lactic acid","Muck_5042_IMS_5ul_R3_12_40V",94332
"11_fumaric acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",18590
"11_fumaric acid","CJ019_WT_IMS_5ul_R1_01_40V",15805
"11_fumaric acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",17833
"11_fumaric acid","CJ019_WT_IMS_5ul_R2_02_40V",15583
"11_fumaric acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",26196
