"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription"
"05_isocitric acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",191.019727,3.19,127.43,"20V",7889477,13406.1424870466,13.4,-0.31,0.192105469669621,4,0.988567262652591,0,0,0.0173205080756888,-1.11022302462516e-17,6.32376470150495,7.7,0.981814159540174,"None"
"05_isocitric acid","CJ019_WT_IMS_5ul_R2_02_40V",191.019727,3.22,127.43,"40V",4836188,4758994,12.5,-0.28,0.191477674017107,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",191.019727,3.27,127.43,"20V",3969863,284.498379429559,12.5,-0.23,0.192105469669621,4,0.98943917859654,0.0397492138287035,-0.00599999999999996,0.0584807660688538,0.018,5.58363680767294,8.82,0.986269625250508,"RT-CCS-DIA"
"05_isocitric acid","CJ019_WT_IMS_5ul_R3_03_40V",191.019727,3.23,127.43,"40V",2096087,2067426,12.1,-0.27,0.192105469669621,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","Muck_1642_IMS_5ul_R2_05_20V_redo",191.019727,3.26,127.43,"20V",1569550,636.588585017836,11.2,-0.24,0.192105469669621,4,0.988953109451384,0.0521536192416212,-0.032,0.145499140890934,0.118,6.78874067850585,5.72,0.982519180720583,"RT-CCS-DIA"
"05_isocitric acid","Muck_1642_IMS_5ul_R2_05_40V",191.019727,3.38,127.43,"40V",1056384,3327.58095238095,9.6,-0.12,0.192262418582744,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","Muck_1642_IMS_5ul_R3_06_20V_redo",191.019727,3.3,127.43,"20V",733437,45.9993685729749,12.5,-0.2,0.192105469669621,4,0.986945554511781,0.0563914887194867,-0.0340000000000001,0.0897217922246318,0.06,8.53973067491007,5.52,0.988129706074587,"RT-CCS-DIA"
"05_isocitric acid","Muck_1642_IMS_5ul_R3_06_40V",191.019727,3.34,127.43,"40V",541964,73.2843295638126,11.2,-0.16,0.192262418582744,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","Muck_2224_IMS_5ul_R1_07_20V_redo",191.019727,3.38,127.43,"20V",1036181,230.731143144485,12.2,-0.12,0.192105469669621,4,0.989514762661083,0.0606630035524125,-0.024,0.0931128347758782,0.052,6.22519076012936,8.54,0.986032962171904,"RT-CCS-DIA"
"05_isocitric acid","Muck_2224_IMS_5ul_R1_07_40V",191.019727,3.26,127.43,"40V",673250,660004,11.9,-0.24,0.192105469669621,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","Muck_2224_IMS_5ul_R2_08_20V_redo",191.019727,3.23,127.43,"20V",1326476,906229,11.9,-0.27,0.192105469669621,4,0.99061299491857,0.11379806676741,-0.1,0.108627804912002,0.11,6.51267993993256,7.3,0.977877653048821,"RT-CCS-DIA"
"05_isocitric acid","Muck_2224_IMS_5ul_R2_08_40V",191.019727,3.34,127.43,"40V",812227,495.312653562654,10.5,-0.16,0.192262418582744,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","Muck_2224_IMS_5ul_R3_09_20V_redo",191.019727,3.38,127.43,"20V",714524,20.6106122130251,11.2,-0.12,0.192105469669621,4,0.988543443761449,0.0426614580154032,-0.0220000000000001,0.0597494769851586,0.062,7.97452192924441,5.24,0.985569862260607,"RT-CCS-DIA"
"05_isocitric acid","Muck_2224_IMS_5ul_R3_09_40V",191.019727,3.42,127.43,"40V",375885,2.50986947092762,11.7,-0.0800000000000001,0.192105469669621,3,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","Muck_5042_IMS_5ul_R1_10_20V_redo",191.019727,3.3,127.43,"20V",965482,1286.69481765835,11.1,-0.2,0.192262418582744,4,0.987249703845378,0.0556776436283003,-0.0700000000000001,0.0789303490426845,0.066,10.60905273811,3.32,0.987700863121408,"RT-CCS-DIA"
"05_isocitric acid","Muck_5042_IMS_5ul_R1_10_40V",191.019727,3.34,127.43,"40V",537816,530577,12.8,-0.16,0.192105469669621,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","Muck_5042_IMS_5ul_R2_11_20V_redo",191.019727,3.38,127.43,"20V",347728,47.9279935275081,13.5,-0.12,0.192105469669621,5,0.988299110297058,0.0507608773236502,0.0116666666666666,0.0746770826068257,0.0816666666666667,10.201503157215,3.16666666666667,0.985121797761092,"RT-CCS-DIA"
"05_isocitric acid","Muck_5042_IMS_5ul_R2_11_40V",191.019727,3.47,127.43,"40V",302995,911.504531722054,11,-0.0299999999999998,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"05_isocitric acid","Muck_5042_IMS_5ul_R3_12_20V_redo",191.019727,3.35,127.43,"20V",299808,16.0392793628702,10.8,-0.15,NA,4,0.992017536198652,0.0694262198308391,-0.062,0.0192353840616714,0.012,15.8312981148104,0.5,0.982026119251781,"None"
"05_isocitric acid","Muck_5042_IMS_5ul_R3_12_40V",191.019727,3.47,127.43,"40V",277189,1042.08301886792,10.8,-0.0299999999999998,0.192105469669621,1,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","CJ019_WT_IMS_5ul_R1_01_20V_redo",191.019727,4.76,127.49,"20V",1152055,1.50805835079254,12.1,-0.140000000000001,-0.637148011608748,6,0.96858568631317,0.0843462252521459,0.0114285714285713,0.0767494377209123,0.0728571428571429,8.61170300065141,9.18571428571429,0.979568704292204,"RT-CCS-DIA"
"06_citric acid","CJ019_WT_IMS_5ul_R1_01_40V",191.019727,4.76,127.49,"40V",673260,1.54503931458784,12,-0.140000000000001,0.144952545297678,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","CJ019_WT_IMS_5ul_R2_02_20V_redo",191.019727,4.64,127.49,"20V",1266298,1.43884397649152,11.3,-0.260000000000001,0.144952545297678,6,0.963023223489109,0.0846280376819927,-0.0457142857142858,0.0596816953672126,0.0642857142857143,5.15539477034448,10.7142857142857,0.977271597479936,"RT-CCS-DIA"
"06_citric acid","CJ019_WT_IMS_5ul_R2_02_40V",191.019727,4.67,127.49,"40V",810680,1.52355102858163,11,-0.23,0.144952545297678,5,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","CJ019_WT_IMS_5ul_R3_03_20V_redo",191.019727,4.64,127.49,"20V",1212335,1.42947653493924,11.3,-0.260000000000001,0.144952545297678,6,0.989842420892973,0.0195180014589707,0.0114285714285714,0.0872598745947169,0.0485714285714286,5.98518011027078,10.8714285714286,0.984289718727167,"RT-CCS-DIA"
"06_citric acid","CJ019_WT_IMS_5ul_R3_03_40V",191.019727,4.64,127.49,"40V",638667,1.48373312164987,12.3,-0.260000000000001,0.144952545297678,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","Muck_1642_IMS_5ul_R2_05_20V_redo",191.019727,4.75,127.49,"20V",1831670,1.82206958600223,12.3,-0.15,0.144952545297678,6,0.975597717029719,0.114121906415068,-0.0928571428571429,0.120099165375158,0.0828571428571429,5.83650254045708,12.1142857142857,0.980490812639888,"RT-CCS-DIA"
"06_citric acid","Muck_1642_IMS_5ul_R2_05_40V",191.019727,4.64,127.49,"40V",1057742,1.74464121421578,10.8,-0.260000000000001,0.144952545297678,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","Muck_1642_IMS_5ul_R3_06_20V_redo",191.019727,4.64,127.49,"20V",1467099,2.12763064330249,12,-0.260000000000001,-0.637148011608748,6,0.969020745866264,0.104037539012654,-0.0771428571428573,0.13562904591288,0.205714285714286,12.0632855036618,6.84285714285714,0.96195770941096,"RT-CCS-DIA"
"06_citric acid","Muck_1642_IMS_5ul_R3_06_40V",191.019727,4.68,127.49,"40V",1127362,2.48798329374889,11,-0.220000000000001,0.144638795199632,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","Muck_2224_IMS_5ul_R1_07_20V_redo",191.019727,4.68,127.49,"20V",1670953,2.13719936028748,12.8,-0.220000000000001,-0.637148011608748,6,0.963966149266151,0.117958830590532,-0.0814285714285716,0.121850806511976,0.0814285714285714,14.078555120669,7.02857142857143,0.979356806813479,"RT-CCS-DIA"
"06_citric acid","Muck_2224_IMS_5ul_R1_07_40V",191.019727,4.63,127.49,"40V",1108775,2.32500275819798,11.2,-0.27,0.144952545297678,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","Muck_2224_IMS_5ul_R2_08_20V_redo",191.019727,4.91,127.49,"20V",1821506,2.07802791854134,12.3,0.00999999999999979,0.144952545297678,6,0.978058259300988,0.0788911244932505,0.072857142857143,0.0788911244932503,0.0428571428571428,6.66979688417799,10.6571428571429,0.971359221246051,"RT-CCS-DIA"
"06_citric acid","Muck_2224_IMS_5ul_R2_08_40V",191.019727,4.67,127.49,"40V",1029545,2.18049252934219,10.7,-0.23,0.144952545297678,3,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","Muck_2224_IMS_5ul_R3_09_20V_redo",191.019727,4.67,127.49,"20V",1839193,2.15027338299568,11.1,-0.23,0.144952545297678,6,0.970977362763508,0.0886673827396794,-0.0557142857142858,0.121713950368418,0.0714285714285714,6.11349015741106,11.3142857142857,0.98472351639067,"RT-CCS-DIA"
"06_citric acid","Muck_2224_IMS_5ul_R3_09_40V",191.019727,4.67,127.49,"40V",719009,1.73932746603612,11.2,-0.23,0.144952545297678,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","Muck_5042_IMS_5ul_R1_10_20V_redo",191.019727,4.63,127.49,"20V",1045378,1.68762888936549,11.7,-0.27,0.144952545297678,6,0.981349344492779,0.0604743156814764,-0.0628571428571429,0.0861891607371335,0.0257142857142857,11.5119813362303,7.82857142857143,0.992309121661882,"RT-CCS-DIA"
"06_citric acid","Muck_5042_IMS_5ul_R1_10_40V",191.019727,4.63,127.49,"40V",546379,1.5466355158193,11.4,-0.27,0.144952545297678,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
"06_citric acid","Muck_5042_IMS_5ul_R2_11_20V_redo",191.019727,4.68,127.49,"20V",1216958,2.1910577469551,12.5,-0.220000000000001,0.144952545297678,6,0.969661907894033,0.0453557367611073,-0.0228571428571429,0.0587164291116128,0.0714285714285714,10.7524969414639,11.0571428571429,0.987143568620784,"RT-CCS-DIA"
"06_citric acid","Muck_5042_IMS_5ul_R2_11_40V",191.019727,4.68,127.49,"40V",845391,2.08753619399327,10.7,-0.220000000000001,0.144952545297678,4,NA,NA,NA,NA,NA,NA,NA,NA,"None"
