"PrecursorName","Replicate","Precursor.Mz","Retention.Time","Collisional.Cross.Section","methodCE","Total.Area","SignalToNoise","Mass.Error.PPM","RetentionTime.Error","CCS.Error","CountDetectedFragments","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","ConfidenceDescription"
"01_malic acid","IMS_20V_LALM_60h_R2_14",133.014247,2,116.25,"20V",375555,332155,7.6,-0.2,0.04,4,0.999516759549433,0.0479583152331271,-0.00999999999999996,0.0403732584763727,0.034,9.29451451125878,3.96,0.973581931033269,"RT-CCS-DIA"
"01_malic acid","IMS_20V_LALM_60h_R3_15",133.014247,2,116.25,"20V",425770,388832,2.1,-0.2,0.04,3,0.999258202406281,0.045,0.0225,0.0216024689946929,0,14.0528763366555,-1.55,0.958666772183243,"None"
"01_malic acid","IMS_40V_HAHM_36h_R1_07",133.014247,1.99,116.25,"40V",232273,204.034965034965,2.6,-0.21,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HAHM_36h_R2_08",133.014247,2,116.25,"40V",219671,219671,2.8,-0.2,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HAHM_36h_R3_09",133.014247,1.99,116.25,"40V",316580,316580,2.2,-0.21,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HAHM_60h_R1_19",133.014247,2.02,116.25,"40V",221841,221252,2.4,-0.18,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HAHM_60h_R2_20",133.014247,1.98,116.25,"40V",311028,1092.32280701754,1.2,-0.22,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HAHM_60h_R3_21",133.014247,2,116.25,"40V",202357,146.560115190785,14,-0.2,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HALM_36h_R1_04",133.014247,2,116.25,"40V",560006,560006,1.2,-0.2,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
"01_malic acid","IMS_40V_HALM_36h_R2_05",133.014247,2,116.25,"40V",576618,317.12774122807,3.9,-0.2,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,"RT-CCS"
