Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Ion Mobility MS1,Ion Mobility Fragment,Collisional Cross Section,Area,Total Area,Height,Background,Mass Error PPM,Fwhm,Explicit Ion Mobility High Energy Offset,Explicit Retention Time
01_malic acid,Standards,IMS_40V_HALM_36h_R3_06,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,598049,598049,52139,5013,3.8,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R1_16,133.014247,-1,133.014247,-1,precursor,2.04,13.64,13.53,116.25,231088,231088,18855,0,2.4,0.19,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R2_17,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,180481,180481,15549,0,14,0.18,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R3_18,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,143654,143654,12742,0,5.3,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LAHM_36h_R1_10,133.014247,-1,133.014247,-1,precursor,2.02,13.64,13.53,116.25,241765,241765,23063,2844,1.9,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LAHM_36h_R2_11,133.014247,-1,133.014247,-1,precursor,2.03,13.64,13.53,116.25,218286,218286,20879,962,2.8,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LAHM_36h_R3_12,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,248627,248627,25269,3297,4.8,0.15,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LAHM_60h_R1_22,133.014247,-1,133.014247,-1,precursor,2.02,13.64,13.53,116.25,183656,183656,18421,0,-0.2,0.16,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LAHM_60h_R2_23,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,118872,118872,12132,1855,2.6,0.15,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LAHM_60h_R3_24,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,206497,206497,22377,601,1.8,0.15,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LALM_36h_R1_01,133.014247,-1,133.014247,-1,precursor,1.98,13.64,13.53,116.25,372849,373342,33820,1344,2,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LALM_36h_R2_02,133.014247,-1,133.014247,-1,precursor,1.98,13.64,13.53,116.25,378016,378016,36697,910,1.9,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LALM_36h_R3_03,133.014247,-1,133.014247,-1,precursor,1.99,13.64,13.53,116.25,378173,379304,34977,2294,11.1,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LALM_60h_R1_13,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,357424,357424,32979,0,3.4,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LALM_60h_R2_14,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,361360,363686,35929,0,3.9,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_40V_LALM_60h_R3_15,133.014247,-1,133.014247,-1,precursor,2,13.64,13.53,116.25,363650,363650,32118,0,9.1,0.17,-0.013301757,2.2
01_malic acid,Standards,IMS_20V_HAHM_36h_R1_07,133.014247,-1,115.00259,-1,115ref,1.69,13.64,13.53,116.25,0,247507,0,0,#N/A,0.61,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HAHM_36h_R2_08,133.014247,-1,115.00259,-1,115ref,1.82,13.64,13.53,116.25,0,267129,0,0,#N/A,0.39,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HAHM_36h_R3_09,133.014247,-1,115.00259,-1,115ref,1.99,13.64,13.53,116.25,1797,354151,274,0,-2.1,0.11,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R1_19,133.014247,-1,115.00259,-1,115ref,1.98,13.64,13.53,116.25,2478,225640,375,0,-26.4,0.09,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R2_20,133.014247,-1,115.00259,-1,115ref,1.61,13.64,13.53,116.25,0,280159,0,0,#N/A,0.69,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R3_21,133.014247,-1,115.00259,-1,115ref,1.81,13.64,13.53,116.25,1152,211845,147,0,14,0.13,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R1_04,133.014247,-1,115.00259,-1,115ref,2.08,13.64,13.53,116.25,1430,608504,190,0,-13.9,0.13,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R2_05,133.014247,-1,115.00259,-1,115ref,2,13.64,13.53,116.25,1727,591077,229,0,-10.7,0.13,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R3_06,133.014247,-1,115.00259,-1,115ref,2,13.64,13.53,116.25,528,657735,96,0,-7.1,0.09,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R1_16,133.014247,-1,115.00259,-1,115ref,1.95,13.64,13.53,116.25,770,215288,147,0,-9.5,0.09,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R2_17,133.014247,-1,115.00259,-1,115ref,1.73,13.64,13.53,116.25,0,210184,0,0,#N/A,0.48,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R3_18,133.014247,-1,115.00259,-1,115ref,1.69,13.64,13.53,116.25,0,134867,0,0,#N/A,0.52,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R1_10,133.014247,-1,115.00259,-1,115ref,1.59,13.64,13.53,116.25,0,229755,0,0,#N/A,0.61,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R2_11,133.014247,-1,115.00259,-1,115ref,2.03,13.64,13.53,116.25,4284,240485,601,0,4.9,0.11,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R3_12,133.014247,-1,115.00259,-1,115ref,1.95,13.64,13.53,116.25,1526,227794,177,0,-19.3,0.14,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R1_22,133.014247,-1,115.00259,-1,115ref,1.98,13.64,13.53,116.25,1059,204511,135,0,-12.3,0.13,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R2_23,133.014247,-1,115.00259,-1,115ref,1.61,13.64,13.53,116.25,0,135823,0,0,#N/A,0.65,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R3_24,133.014247,-1,115.00259,-1,115ref,2,13.64,13.53,116.25,1469,242822,190,0,-12.5,0.12,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R1_01,133.014247,-1,115.00259,-1,115ref,1.98,13.64,13.53,116.25,1673,421566,236,0,-21.5,0.11,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R2_02,133.014247,-1,115.00259,-1,115ref,1.96,13.64,13.53,116.25,3691,362986,493,0,2.2,0.12,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R3_03,133.014247,-1,115.00259,-1,115ref,2,13.64,13.53,116.25,564,390093,108,0,-18.1,0.08,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R1_13,133.014247,-1,115.00259,-1,115ref,2.04,13.64,13.53,116.25,3013,416399,387,0,-9.2,0.13,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R2_14,133.014247,-1,115.00259,-1,115ref,2.09,13.64,13.53,116.25,1473,375555,230,0,-0.9,0.1,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R3_15,133.014247,-1,115.00259,-1,115ref,1.91,13.64,13.53,116.25,517,425770,66,0,-21.7,0.13,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R1_07,133.014247,-1,115.00259,-1,115ref,1.78,13.64,13.53,116.25,0,232273,0,0,#N/A,0.43,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R2_08,133.014247,-1,115.00259,-1,115ref,1.6,13.64,13.53,116.25,0,219671,0,0,#N/A,0.61,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R3_09,133.014247,-1,115.00259,-1,115ref,1.64,13.64,13.53,116.25,0,316580,0,0,#N/A,0.61,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R1_19,133.014247,-1,115.00259,-1,115ref,1.67,13.64,13.53,116.25,0,221841,0,0,#N/A,0.56,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R2_20,133.014247,-1,115.00259,-1,115ref,1.72,13.64,13.53,116.25,0,311028,0,0,#N/A,0.48,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R3_21,133.014247,-1,115.00259,-1,115ref,1.69,13.64,13.53,116.25,0,202357,0,0,#N/A,0.52,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R1_04,133.014247,-1,115.00259,-1,115ref,1.56,13.64,13.53,116.25,0,560006,0,0,#N/A,0.65,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R2_05,133.014247,-1,115.00259,-1,115ref,1.65,13.64,13.53,116.25,0,576618,0,0,#N/A,0.56,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R3_06,133.014247,-1,115.00259,-1,115ref,1.61,13.64,13.53,116.25,0,598049,0,0,#N/A,0.61,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R1_16,133.014247,-1,115.00259,-1,115ref,1.6,13.64,13.53,116.25,0,231088,0,0,#N/A,0.65,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R2_17,133.014247,-1,115.00259,-1,115ref,1.64,13.64,13.53,116.25,0,180481,0,0,#N/A,0.61,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R3_18,133.014247,-1,115.00259,-1,115ref,1.6,13.64,13.53,116.25,0,143654,0,0,#N/A,0.61,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LAHM_36h_R1_10,133.014247,-1,115.00259,-1,115ref,1.72,13.64,13.53,116.25,0,241765,0,0,#N/A,0.56,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LAHM_36h_R2_11,133.014247,-1,115.00259,-1,115ref,1.77,13.64,13.53,116.25,0,218286,0,0,#N/A,0.43,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LAHM_36h_R3_12,133.014247,-1,115.00259,-1,115ref,1.78,13.64,13.53,116.25,0,248627,0,0,#N/A,0.48,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LAHM_60h_R1_22,133.014247,-1,115.00259,-1,115ref,1.72,13.64,13.53,116.25,0,183656,0,0,#N/A,0.52,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LAHM_60h_R2_23,133.014247,-1,115.00259,-1,115ref,1.7,13.64,13.53,116.25,0,118872,0,0,#N/A,0.52,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LAHM_60h_R3_24,133.014247,-1,115.00259,-1,115ref,1.78,13.64,13.53,116.25,0,206497,0,0,#N/A,0.39,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LALM_36h_R1_01,133.014247,-1,115.00259,-1,115ref,1.72,13.64,13.53,116.25,0,373342,0,0,#N/A,0.56,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LALM_36h_R2_02,133.014247,-1,115.00259,-1,115ref,1.76,13.64,13.53,116.25,0,378016,0,0,#N/A,0.48,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LALM_36h_R3_03,133.014247,-1,115.00259,-1,115ref,1.69,13.64,13.53,116.25,0,379304,0,0,#N/A,0.56,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LALM_60h_R1_13,133.014247,-1,115.00259,-1,115ref,1.61,13.64,13.53,116.25,0,357424,0,0,#N/A,0.74,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LALM_60h_R2_14,133.014247,-1,115.00259,-1,115ref,1.87,13.64,13.53,116.25,0,363686,0,0,#N/A,0.39,-0.053921962,2.2
01_malic acid,Standards,IMS_40V_LALM_60h_R3_15,133.014247,-1,115.00259,-1,115ref,1.61,13.64,13.53,116.25,0,363650,0,0,#N/A,0.61,-0.053921962,2.2
01_malic acid,Standards,IMS_20V_HAHM_36h_R1_07,133.014247,-1,71.01263,-1,71ref,1.99,13.64,13.53,116.25,16470,247507,1830,0,8.6,0.15,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HAHM_36h_R2_08,133.014247,-1,71.01263,-1,71ref,2.04,13.64,13.53,116.25,14886,267129,1787,0,10.1,0.14,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HAHM_36h_R3_09,133.014247,-1,71.01263,-1,71ref,1.99,13.64,13.53,116.25,27078,354151,2416,0,11.4,0.18,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R1_19,133.014247,-1,71.01263,-1,71ref,2.02,13.64,13.53,116.25,7032,225640,742,0,2.3,0.13,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R2_20,133.014247,-1,71.01263,-1,71ref,2.04,13.64,13.53,116.25,10818,280159,1157,0,9.1,0.15,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HAHM_60h_R3_21,133.014247,-1,71.01263,-1,71ref,2.02,13.64,13.53,116.25,10912,211845,1288,0,7.4,0.14,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R1_04,133.014247,-1,71.01263,-1,71ref,2,13.64,13.53,116.25,40097,608504,3500,0,12.6,0.17,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R2_05,133.014247,-1,71.01263,-1,71ref,1.95,13.64,13.53,116.25,37623,591077,3372,0,12.3,0.17,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HALM_36h_R3_06,133.014247,-1,71.01263,-1,71ref,2,13.64,13.53,116.25,44115,657735,4783,0,10.3,0.15,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R1_16,133.014247,-1,71.01263,-1,71ref,1.95,13.64,13.53,116.25,8180,215288,677,0,6.4,0.2,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R2_17,133.014247,-1,71.01263,-1,71ref,1.99,13.64,13.53,116.25,12731,210184,1135,0,12,0.2,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_HALM_60h_R3_18,133.014247,-1,71.01263,-1,71ref,1.99,13.64,13.53,116.25,3072,134867,400,0,-0.2,0.13,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R1_10,133.014247,-1,71.01263,-1,71ref,2.03,13.64,13.53,116.25,9755,229755,961,0,5.2,0.17,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R2_11,133.014247,-1,71.01263,-1,71ref,2.03,13.64,13.53,116.25,8687,240485,1036,0,11.4,0.13,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LAHM_36h_R3_12,133.014247,-1,71.01263,-1,71ref,1.95,13.64,13.53,116.25,6203,227794,798,0,16.2,0.13,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R1_22,133.014247,-1,71.01263,-1,71ref,2.06,13.64,13.53,116.25,7451,204511,869,0,2.1,0.13,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R2_23,133.014247,-1,71.01263,-1,71ref,1.95,13.64,13.53,116.25,5636,135823,523,0,11.3,0.16,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LAHM_60h_R3_24,133.014247,-1,71.01263,-1,71ref,2,13.64,13.53,116.25,13748,242822,1600,0,13.5,0.14,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R1_01,133.014247,-1,71.01263,-1,71ref,1.98,13.64,13.53,116.25,17823,421566,1502,0,8.6,0.18,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R2_02,133.014247,-1,71.01263,-1,71ref,2,13.64,13.53,116.25,18924,362986,1825,0,14.1,0.17,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LALM_36h_R3_03,133.014247,-1,71.01263,-1,71ref,2,13.64,13.53,116.25,29516,390093,2844,0,10.8,0.17,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R1_13,133.014247,-1,71.01263,-1,71ref,1.95,13.64,13.53,116.25,20319,416399,2113,0,11.2,0.15,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R2_14,133.014247,-1,71.01263,-1,71ref,2,13.64,13.53,116.25,32338,375555,2873,0,12.7,0.18,-0.153140078,2.2
01_malic acid,Standards,IMS_20V_LALM_60h_R3_15,133.014247,-1,71.01263,-1,71ref,2,13.64,13.53,116.25,24778,425770,2100,0,11,0.18,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R1_07,133.014247,-1,71.01263,-1,71ref,1.78,13.64,13.53,116.25,0,232273,0,0,#N/A,0.43,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R2_08,133.014247,-1,71.01263,-1,71ref,1.6,13.64,13.53,116.25,0,219671,0,0,#N/A,0.61,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HAHM_36h_R3_09,133.014247,-1,71.01263,-1,71ref,1.64,13.64,13.53,116.25,0,316580,0,0,#N/A,0.61,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R1_19,133.014247,-1,71.01263,-1,71ref,2.02,13.64,13.53,116.25,589,221841,75,0,0,0.13,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R2_20,133.014247,-1,71.01263,-1,71ref,1.72,13.64,13.53,116.25,0,311028,0,0,#N/A,0.48,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HAHM_60h_R3_21,133.014247,-1,71.01263,-1,71ref,1.69,13.64,13.53,116.25,0,202357,0,0,#N/A,0.52,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R1_04,133.014247,-1,71.01263,-1,71ref,1.56,13.64,13.53,116.25,0,560006,0,0,#N/A,0.65,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R2_05,133.014247,-1,71.01263,-1,71ref,1.65,13.64,13.53,116.25,0,576618,0,0,#N/A,0.56,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HALM_36h_R3_06,133.014247,-1,71.01263,-1,71ref,1.61,13.64,13.53,116.25,0,598049,0,0,#N/A,0.61,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R1_16,133.014247,-1,71.01263,-1,71ref,1.6,13.64,13.53,116.25,0,231088,0,0,#N/A,0.65,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R2_17,133.014247,-1,71.01263,-1,71ref,1.64,13.64,13.53,116.25,0,180481,0,0,#N/A,0.61,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_HALM_60h_R3_18,133.014247,-1,71.01263,-1,71ref,1.6,13.64,13.53,116.25,0,143654,0,0,#N/A,0.61,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_LAHM_36h_R1_10,133.014247,-1,71.01263,-1,71ref,1.72,13.64,13.53,116.25,0,241765,0,0,#N/A,0.56,-0.153140078,2.2
01_malic acid,Standards,IMS_40V_LAHM_36h_R2_11,133.014247,-1,71.01263,-1,71ref,1.77,13.64,13.53,116.25,0,218286,0,0,#N/A,0.43,-0.153140078,2.2
