PrecursorName,ProductName,ProductMz,LibraryIntensity,methodCE
24_acetoacetyl-CoA,766ref,766.1055,191426,40V
24_acetoacetyl-CoA,767,767.1056,45511,40V
24_acetoacetyl-CoA,768,768.102,10151,40V
25_HMG-CoA,precursor,910.1502,742797,20V
25_HMG-CoA,306,306.9982,7434,20V
25_HMG-CoA,911,911.1511,217962,20V
25_HMG-CoA,912,912.1534,74631,20V
25_HMG-CoA,precursor,910.1502,794227,40V
25_HMG-CoA,306,306.9982,4524,40V
25_HMG-CoA,339,339.0768,2915,40V
25_HMG-CoA,407,407.9938,59332,40V
25_HMG-CoA,426,426.0165,59385,40V
25_HMG-CoA,483,483.0966,1130,40V
25_HMG-CoA,812,812.1546,14822,40V
25_HMG-CoA,830,830.1849,9606,40V
25_HMG-CoA,911,911.1511,76841,40V
25_HMG-CoA,912,912.1534,32439,40V
27_mevalonate-5-phosphate (mev-5P),precursor,227.0326,2460360,20V
27_mevalonate-5-phosphate (mev-5P),210,210.9985,110,20V
27_mevalonate-5-phosphate (mev-5P),78,78.9584,455121,20V
27_mevalonate-5-phosphate (mev-5P),80,80.9621,2373,20V
27_mevalonate-5-phosphate (mev-5P),96,96.969,970273,20V
28_mevalonate 5-diphosphate (mev-5PP),precursor,306.9989,11378218,20V
28_mevalonate 5-diphosphate (mev-5PP),158,158.9474,458284,20V
28_mevalonate 5-diphosphate (mev-5PP),176,176.9548,850631,20V
28_mevalonate 5-diphosphate (mev-5PP),209,209.024,486101,20V
28_mevalonate 5-diphosphate (mev-5PP),78,78.9584,3746361,20V
28_mevalonate 5-diphosphate (mev-5PP),96,96.9706,1548777,20V
29_isopentenyl diphosphate (IPP),precursor,244.9986,4167203,20V
29_isopentenyl diphosphate (IPP),158,158.9254,122748,20V
29_isopentenyl diphosphate (IPP),226,226.9907,35163,20V
29_isopentenyl diphosphate (IPP),78,78.9604,2360960,20V
29_isopentenyl diphosphate (IPP),80,80.9621,14891,20V
31_geranyl diphopshate (GPP),precursor,313.0612,6176810,20V
31_geranyl diphopshate (GPP),158,158.9254,250181,20V
31_geranyl diphopshate (GPP),233,233.0954,37020,20V
31_geranyl diphopshate (GPP),78,78.9584,3743186,20V
31_geranyl diphopshate (GPP),80,80.9621,19378,20V
32_farnesyl diphosphate (FPP),precursor,381.1238,14372621,20V
32_farnesyl diphosphate (FPP),158,158.9253,609399,20V
32_farnesyl diphosphate (FPP),363,363.1125,623104,20V
32_farnesyl diphosphate (FPP),78,78.9584,6078178,20V
33_geranygeranyl diphosphate (GGPP),precursor,449.1864,6631334,20V
33_geranygeranyl diphosphate (GGPP),158,158.9253,266578,20V
33_geranygeranyl diphosphate (GGPP),431,431.1605,272730,20V
33_geranygeranyl diphosphate (GGPP),78,78.9584,2311787,20V
33_geranygeranyl diphosphate (GGPP),96,96.9672,608,20V
35_gluconic acid,precursor,195.051,2779713,20V
35_gluconic acid,129ref,129.0161,101004,20V
35_gluconic acid,71ref,71.0127,95353,20V
35_gluconic acid,75ref,75.0082,699083,20V
35_gluconic acid,87ref,87.008,77429,20V
35_gluconic acid,99ref,99.0062,103809,20V
36_2-ketogluconic acid,precursor,193.0354,297180,20V
36_2-ketogluconic acid,103ref,103.0046,37848,20V
36_2-ketogluconic acid,71,71.0138,13564,20V
36_2-ketogluconic acid,73,73.0299,1280,20V
37_ribulose 5-phosphate,precursor,229.0119,379742,20V
37_ribulose 5-phosphate,138,138.9802,9458,20V
37_ribulose 5-phosphate,78,78.9584,254033,20V
37_ribulose 5-phosphate,96,96.9679,210565,20V
38_ribose 5-phosphate,precursor,229.0119,1198928,20V
38_ribose 5-phosphate,138ref,138.9792,57807,20V
38_ribose 5-phosphate,71ref,71.0127,5872,20V
38_ribose 5-phosphate,78ref,78.9578,295072,20V
38_ribose 5-phosphate,96ref,96.9685,474737,20V
39_glutamic acid,precursor,146.0459,326873,20V
39_glutamic acid,102ref,102.0529,42538,20V
39_glutamic acid,128ref,128.0329,6760,20V
41_UDP-glucose,precursor,565.0477,7257410,20V
41_UDP-glucose,211ref,211.001,14027,20V
41_UDP-glucose,241ref,241.0119,143706,20V
41_UDP-glucose,280ref,280.0233,3816,20V
41_UDP-glucose,323ref,323.0288,3376747,20V
41_UDP-glucose,384ref,384.9844,125265,20V
